Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::copy_,"8;
8;
",,36.14,36.14,0,0,0,0
aten::lift_fresh,8,,0.95,0.95,0,0,0,0
aten::detach_,8,,0.48,0.48,0,0,0,0
aten::select,"4,8;
;
",,3.23,6.15,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.92,2.92,0,0,0,0
aten::copy_,"8;
8;
",,25.84,31.07,0,0.62,0,0
aclnnInplaceCopy,,,5.23,5.23,0.62,0.62,0,0
aten::scalar_tensor,";
;
;
;
",,3.68,23.02,0,1.22,0,0
aten::empty,";
;
;
;
;
",,2.25,6.02,0,0,0,0
empty_tensor,,,3.77,3.77,0,0,0,0
aten::fill_,";
",,8.84,13.32,0,1.22,0,0
aclnnInplaceFillScalar,,,4.48,4.48,1.22,1.22,0,0
aten::select,"4,8;
;
",,2.76,5.44,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.68,2.68,0,0,0,0
aten::view,";
",,2.27,2.27,0,0,0,0
aten::expand,";
;
",,1.99,4.1,0,0,0,0
aten::as_strided,";
;
;
",,2.11,2.11,0,0,0,0
aten::copy_,"8;
8;
",,13.21,18.01,0,3.80025,0,0
aclnnInplaceCopy,,,4.8,4.8,3.80025,3.80025,0,0
minigpt::prefill_phase,,,196.67,277846.0,0,494043.654,0,10265.384
minigpt::prefill_model,,,42615.26,275733.21,0,491512.54325,0,10265.384
aten::to,"4,8;
;
;
;
",,4.02,39.94,0,1.28,0,0
aten::_to_copy,"4,8;
;
;
;
;
;
",,5.36,35.92,0,1.28,0,0
aten::empty_strided,";
;
;
;
;
",,6.48,9.71,0,0,0,0
empty_tensor,,,3.23,3.23,0,0,0,0
aten::copy_,"4,8;
4,8;
",,14.97,20.85,0,1.28,0,0
aclnnInplaceCopy,,,5.88,5.88,1.28,1.28,0,0
aten::sum,"4,8;
;
;
",,17.39,25.67,0,3.14,0,0
empty_tensor,,,3.84,3.84,0,0,0,0
aclnnReduceSum,,,4.44,4.44,3.14,3.14,0,0
aten::le,"4;
",,13.1,18.85,0,3.0,0,0
empty_tensor,,,3.36,3.36,0,0,0,0
aclnnLeScalar,,,2.39,2.39,3.0,3.0,0,0
aten::any,4,,13.64,22.05,0,2.94,0,0
empty_tensor,,,3.66,3.66,0,0,0,0
aclnnAny,,,4.75,4.75,2.94,2.94,0,0
aten::is_nonzero,,,23.77,85.2,0,0,0,0
aten::item,,,5.21,61.43,0,0,0,0
aten::_local_scalar_dense,,,56.22,56.22,0,0,0,0
aten::arange,";
;
;
;
",,15.96,25.1,0,9.2,0,0
empty_tensor,,,4.27,4.27,0,0,0,0
aclnnArange,,,4.87,4.87,9.2,9.2,0,0
aten::expand_as,"8;
4,8",,3.65,12.11,0,0,0,0
aten::expand,"8;
;
",,3.36,8.46,0,0,0,0
aten::as_strided,"8;
;
;
",,5.1,5.1,0,0,0,0
aten::to,"4,8;
;
;
;
",,2.26,2.26,0,0,0,0
aten::bitwise_not,"4,8",,32.51,41.58,0,1.40025,0,0
empty_tensor,,,4.05,4.05,0,0,0,0
aclnnBitwiseNot,,,5.02,5.02,1.40025,1.40025,0,0
aten::masked_fill,"4,8;
4,8;
",,106.78,186.45,0,98.58200000000001,0,0
aten::clone,"4,8;
",,4.59,25.48,0,1.84,0,0
empty_tensor,,,3.67,3.67,0,0,0,0
aten::copy_,"4,8;
4,8;
",,12.47,17.22,0,1.84,0,0
aclnnInplaceCopy,,,4.75,4.75,1.84,1.84,0,0
aten::masked_fill_,"4,8;
4,8;
",,49.4,54.19,0,96.742,0,0
aclnnInplaceMaskedFillScalar,,,4.79,4.79,96.742,96.742,0,0
aten::max,"4,8;
;
",,18.97,28.27,0,4.28,0,0
empty_tensor,,,3.91,3.91,0,0,0,0
empty_tensor,,,3.11,3.11,0,0,0,0
aclnnMaxDim,,,2.28,2.28,4.28,4.28,0,0
aten::lt,"4;
",,11.57,19.93,0,2.84,0,0
empty_tensor,,,3.3,3.3,0,0,0,0
aclnnLtScalar,,,5.06,5.06,2.84,2.84,0,0
aten::any,4,,12.68,17.69,0,2.18025,0,0
empty_tensor,,,2.82,2.82,0,0,0,0
aclnnAny,,,2.19,2.19,2.18025,2.18025,0,0
aten::is_nonzero,,,2.31,79.56,0,0,0,0
aten::item,,,2.55,77.25,0,0,0,0
aten::_local_scalar_dense,,,74.7,74.7,0,0,0,0
aten::to,"4,8;
;
;
;
",,2.86,35.24,0,1.24,0,0
aten::_to_copy,"4,8;
;
;
;
;
;
",,5.52,32.38,0,1.24,0,0
aten::empty_strided,";
;
;
;
;
",,6.49,9.04,0,0,0,0
empty_tensor,,,2.55,2.55,0,0,0,0
aten::copy_,"4,8;
4,8;
",,12.65,17.82,0,1.24,0,0
aclnnInplaceCopy,,,5.17,5.17,1.24,1.24,0,0
aten::sum,"4,8;
;
;
",,13.93,21.58,0,3.14,0,0
empty_tensor,,,3.51,3.51,0,0,0,0
aclnnReduceSum,,,4.14,4.14,3.14,3.14,0,0
aten::max,4,,12.38,20.14,0,3.12,0,0
empty_tensor,,,3.14,3.14,0,0,0,0
aclnnMax,,,4.62,4.62,3.12,3.12,0,0
aten::item,,,1.96,60.1,0,0,0,0
aten::_local_scalar_dense,,,58.14,58.14,0,0,0,0
aten::to,"4,8;
;
;
;
",,3.25,40.29,0,1.22,0,0
aten::_to_copy,"4,8;
;
;
;
;
;
",,5.18,37.04,0,1.22,0,0
aten::empty_strided,";
;
;
;
;
",,7.3,10.48,0,0,0,0
empty_tensor,,,3.18,3.18,0,0,0,0
aten::copy_,"4,8;
4,8;
",,15.38,21.38,0,1.22,0,0
aclnnInplaceCopy,,,6.0,6.0,1.22,1.22,0,0
aten::sum,"4,8;
;
;
",,5.57,30.22,0,2.56,0,0
aten::sum,"4,8;
;
;
",,14.54,24.65,0,2.56,0,0
empty_tensor,,,4.16,4.16,0,0,0,0
aclnnReduceSum,,,5.95,5.95,2.56,2.56,0,0
aten::le,"4;
",,9.97,14.43,0,2.36025,0,0
empty_tensor,,,2.69,2.69,0,0,0,0
aclnnLeScalar,,,1.77,1.77,2.36025,2.36025,0,0
aten::any,4,,11.2,16.39,0,2.36,0,0
empty_tensor,,,3.46,3.46,0,0,0,0
aclnnAny,,,1.73,1.73,2.36,2.36,0,0
aten::is_nonzero,,,1.65,75.26,0,0,0,0
aten::item,,,1.73,73.61,0,0,0,0
aten::_local_scalar_dense,,,71.88,71.88,0,0,0,0
aten::max,4,,13.67,22.25,0,2.02,0,0
empty_tensor,,,3.88,3.88,0,0,0,0
aclnnMax,,,4.7,4.7,2.02,2.02,0,0
aten::item,,,1.6,52.33,0,0,0,0
aten::_local_scalar_dense,,,50.73,50.73,0,0,0,0
aten::arange,";
;
;
;
",,14.77,22.45,0,5.14,0,0
empty_tensor,,,3.56,3.56,0,0,0,0
aclnnArange,,,4.12,4.12,5.14,5.14,0,0
aten::slice,"4;
;
;
;
",,4.64,8.56,0,0,0,0
aten::as_strided,"4;
;
;
",,3.92,3.92,0,0,0,0
aten::zero_,4,,9.81,13.64,0,1.34,0,0
aclnnInplaceZero,,,3.83,3.83,1.34,1.34,0,0
aten::to,"4,8;
;
;
;
",,2.58,31.11,0,1.2,0,0
aten::_to_copy,"4,8;
;
;
;
;
;
",,5.11,28.53,0,1.2,0,0
aten::empty_strided,";
;
;
;
;
",,6.13,8.06,0,0,0,0
empty_tensor,,,1.93,1.93,0,0,0,0
aten::copy_,"4,8;
4,8;
",,11.25,15.36,0,1.2,0,0
aclnnInplaceCopy,,,4.11,4.11,1.2,1.2,0,0
aten::cumsum,"4,8;
;
",,3.8,58.8,0,59.68125,0,0
aten::cumsum,"4,8;
;
",,46.78,55.0,0,59.68125,0,0
empty_tensor,,,3.64,3.64,0,0,0,0
aclnnCumsum,,,4.58,4.58,59.68125,59.68125,0,0
aten::sub,"4,8;
;
",,17.69,27.96,0,3.16,0,0
empty_tensor,,,3.81,3.81,0,0,0,0
aten::item,,,1.2,4.67,0,0,0,0
aten::_local_scalar_dense,,,3.47,3.47,0,0,0,0
aclnnSubs,,,1.79,1.79,3.16,3.16,0,0
aten::clamp_min,"4,8;
",,12.88,20.18,0,4.62025,0,0
empty_tensor,,,3.57,3.57,0,0,0,0
aclnnClampMin,,,3.73,3.73,4.62025,4.62025,0,0
aten::lt,"4,8;
",,11.09,17.8,0,2.26,0,0
empty_tensor,,,3.74,3.74,0,0,0,0
aclnnLtScalar,,,2.97,2.97,2.26,2.26,0,0
aten::any,"4,8",,13.16,19.46,0,2.16,0,0
empty_tensor,,,3.42,3.42,0,0,0,0
aclnnAny,,,2.88,2.88,2.16,2.16,0,0
aten::is_nonzero,,,1.89,128.54,0,0,0,0
aten::item,,,2.13,126.65,0,0,0,0
aten::_local_scalar_dense,,,124.52,124.52,0,0,0,0
aten::ge,"4,8;
",,21.58,34.92,0,2.94,0,0
empty_tensor,,,6.84,6.84,0,0,0,0
aclnnGeScalar,,,6.5,6.5,2.94,2.94,0,0
aten::any,"4,8",,13.37,19.32,0,1.9,0,0
empty_tensor,,,3.96,3.96,0,0,0,0
aclnnAny,,,1.99,1.99,1.9,1.9,0,0
aten::is_nonzero,,,2.0,76.16,0,0,0,0
aten::item,,,2.24,74.16,0,0,0,0
aten::_local_scalar_dense,,,71.92,71.92,0,0,0,0
aten::ge,"4,8;
",,14.33,22.75,0,2.34,0,0
empty_tensor,,,3.86,3.86,0,0,0,0
aclnnGeScalar,,,4.56,4.56,2.34,2.34,0,0
aten::lt,"4,8;
",,11.18,18.32,0,2.32,0,0
empty_tensor,,,3.7,3.7,0,0,0,0
aclnnLtScalar,,,3.44,3.44,2.32,2.32,0,0
aten::__and__,"4,8;
4,8",,5.6,64.25,0,2.02,0,0
aten::bitwise_and,"4,8;
4,8",,52.83,58.65,0,2.02,0,0
empty_tensor,,,3.56,3.56,0,0,0,0
aclnnBitwiseAndTensor,,,2.26,2.26,2.02,2.02,0,0
aten::sub,"4,8;
;
",,12.85,21.78,0,2.36,0,0
empty_tensor,,,2.74,2.74,0,0,0,0
aten::item,,,1.04,2.57,0,0,0,0
aten::_local_scalar_dense,,,1.53,1.53,0,0,0,0
aclnnSubs,,,3.62,3.62,2.36,2.36,0,0
aten::bitwise_not,"4,8",,9.77,16.21,0,1.32025,0,0
empty_tensor,,,3.24,3.24,0,0,0,0
aclnnBitwiseNot,,,3.2,3.2,1.32025,1.32025,0,0
aten::masked_fill,"4,8;
4,8;
",,4.31,78.68,0,61.06125,0,0
aten::clone,"4,8;
",,4.47,41.16,0,0.56,0,0
empty_tensor,,,3.54,3.54,0,0,0,0
aten::copy_,"4,8;
4,8;
",,31.0,33.15,0,0.56,0,0
aclnnInplaceCopy,,,2.15,2.15,0.56,0.56,0,0
aten::masked_fill_,"4,8;
4,8;
",,28.69,33.21,0,60.50125,0,0
aclnnInplaceMaskedFillScalar,,,4.52,4.52,60.50125,60.50125,0,0
aten::embedding,"18992,5120;
4,8;
;
;
",,14.47,23.07,0,7.72,0,0
empty_tensor,,,4.73,4.73,0,0,0,0
aclnnEmbedding,,,3.87,3.87,7.72,7.72,0,0
aten::unsqueeze,"4,8;
",,4.81,9.43,0,0,0,0
aten::as_strided,"4,8;
;
;
",,4.62,4.62,0,0,0,0
