Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
1,MatMulV2,AI_CORE,1796,166942.098,8.22,92.952,677.354,28.178
1,allreduceAicpuKernel,AI_CPU,516,114693.792,164.963,222.275,619.532,19.359
1,IndexPut,AI_CPU,512,104534.812,122.543,204.17,564.091,17.644
1,Index,AI_CPU,128,67509.749,454.009,527.42,685.194,11.395
1,Mul,AI_VECTOR_CORE,3340,21906.544,1.56,6.559,29.741,3.698
1,FlashAttentionScore,MIX_AIC,256,15964.362,34.961,62.361,137.703,2.695
1,Index,AI_VECTOR_CORE,1476,15899.381,6.74,10.772,34.421,2.684
1,Pows,AI_VECTOR_CORE,1028,9389.94,1.66,9.134,19.861,1.585
1,ReduceMean,MIX_AIV,1028,9291.266,1.82,9.038,21.281,1.568
1,IndexCheck,AI_VECTOR_CORE,2120,8656.42,1.86,4.083,22.241,1.461
1,MemSet,AI_VECTOR_CORE,844,7602.595,5.48,9.008,21.581,1.283
1,Cast,AI_VECTOR_CORE,2078,6907.517,1.08,3.324,11.92,1.166
1,Transpose,AI_VECTOR_CORE,320,6836.415,13.7,21.364,34.581,1.154
1,Add,AI_VECTOR_CORE,2055,6785.977,1.22,3.302,21.761,1.145
1,Slice,AI_VECTOR_CORE,2048,6292.283,1.34,3.072,5.12,1.062
1,Range,AI_VECTOR_CORE,390,3458.606,3.92,8.868,16.38,0.584
1,NonZero,MIX_AIV,832,2997.076,2.7,3.602,9.1,0.506
1,ConcatD,AI_VECTOR_CORE,520,2614.652,3.5,5.028,19.161,0.441
1,AsStrided,AI_VECTOR_CORE,256,2271.666,5.92,8.874,12.12,0.383
1,Swish,AI_VECTOR_CORE,256,2042.162,2.8,7.977,23.761,0.345
1,Neg,AI_VECTOR_CORE,512,1578.97,1.18,3.084,9.8,0.267
1,Rsqrt,AI_VECTOR_CORE,1028,1502.686,1.1,1.462,4,0.254
1,LogicalAnd,AI_VECTOR_CORE,68,967.04,1.48,14.221,17.6,0.163
1,LogicalNot,AI_VECTOR_CORE,265,938.599,1.24,3.542,13.001,0.158
1,Tril,AI_VECTOR_CORE,64,928.56,13.96,14.509,14.94,0.157
1,allgatherAicpuKernel,AI_CPU,4,860.198,145.163,215.049,357.187,0.145
1,broadcastAicpuKernel,AI_CPU,4,839.557,164.444,209.889,275.766,0.142
1,Less,AI_VECTOR_CORE,201,620.435,2.24,3.087,3.72,0.105
1,OnesLike,AI_VECTOR_CORE,67,562.41,1.6,8.394,9.08,0.095
1,MaskedFill,AI_CPU,5,534.831,71.161,106.966,143.223,0.09
1,PadV3,MIX_AIV,12,164.023,10.5,13.669,18.26,0.028
1,Cumsum,AI_CPU,1,71.582,71.582,71.582,71.582,0.012
1,GatherV2,AI_VECTOR_CORE,4,49.001,10.5,12.25,17.381,0.008
1,MaskedFill,AI_VECTOR_CORE,4,40.821,3.2,10.205,30.581,0.007
1,GreaterEqual,AI_VECTOR_CORE,8,21.6,2.3,2.7,3.12,0.004
1,ReduceAny,MIX_AIV,11,17.901,1.22,1.627,3,0.003
1,ReduceSum,MIX_AIV,3,17.56,5.62,5.853,6.14,0.003
1,ReduceMax,MIX_AIV,9,16.94,1.56,1.882,2.26,0.003
1,ZerosLike,AI_VECTOR_CORE,9,15.14,1.46,1.682,2,0.003
1,Cos,AI_VECTOR_CORE,4,14.56,1.94,3.64,8.6,0.002
1,Sin,AI_VECTOR_CORE,4,14.44,1.92,3.61,8.54,0.002
1,ArgMaxWithValue,AI_VECTOR_CORE,1,13.96,13.96,13.96,13.96,0.002
1,Sub,AI_VECTOR_CORE,5,13.3,2.24,2.66,3.46,0.002
1,TensorMove,AI_VECTOR_CORE,1,11.88,11.88,11.88,11.88,0.002
1,IndexPutV2,AI_VECTOR_CORE,4,9.28,2.24,2.32,2.46,0.002
1,BroadcastTo,AI_VECTOR_CORE,5,7.94,1.48,1.588,1.74,0.001
1,SelectV2,AI_VECTOR_CORE,3,7.32,2.26,2.44,2.6,0.001
1,ClipByValueV2,AI_VECTOR_CORE,1,6,6,6,6,0.001
1,LessEqual,AI_VECTOR_CORE,2,5.24,2.44,2.62,2.8,0.001
1,Fill,AI_VECTOR_CORE,2,4.06,1.66,2.03,2.4,0.001
