Device_id,Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
6,0,92245.27600000011,105630.23999999995,0.0,105630.23999999995,75430.8049999977,273306.25,0,105630.23999999995,1093.5
6,1,53835.30800000013,189963.26200000008,0.0,189963.26200000008,79864.09599999782,323662.5,0,189963.26200000008,404.25
6,2,53896.21499999977,132405.14500000002,0.0,132405.14500000002,106988.34000000058,293289.5,0,132405.14500000002,312.25
6,3,54171.88699999972,181668.27400000003,0.0,181668.27400000003,78880.24699999738,314720.5,0,181668.27400000003,297.25
