Device_id,Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
5,0,63841.81899999995,126195.03799999991,0.0,126195.03799999991,33777.27500000205,223814.0,0,126195.03799999991,1278.5
5,1,47312.331999999995,81223.36200000001,0.0,81223.36200000001,106779.60699999932,235315.25,0,81223.36200000001,219.75
5,2,47271.06299999993,136839.412,0.0,136839.412,77835.45899999888,261946.0,0,136839.412,261.25
5,3,47035.336,83515.40999999996,0.0,83515.40999999996,121537.99000000142,252088.75,0,83515.40999999996,177.5
