Device_id,Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
0,0,91805.21999999986,151270.11999999997,0.0,151270.11999999997,27981.820000002255,271057.0,0,151270.11999999997,1243.75
0,1,53748.74000000031,206259.66000000006,0.0,206259.66000000006,73293.37999999695,333301.75,0,206259.66000000006,340.25
0,2,53531.520000000026,183367.98000000004,0.0,183367.98000000004,73622.85999999724,310522.25,0,183367.98000000004,346.25
0,3,53832.56000000005,181959.76000000004,0.0,181959.76000000004,72650.75999999692,308443.25,0,181959.76000000004,335.5
