Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::empty,";
;
;
;
;
",,17.77,54.11,0,0,0,0
empty_tensor,,,36.34,36.34,0,0,0,0
c10d::barrier,"1;
;
;
;
",,103.42,212.36,0,14340.387,0,0
aten::ones,";
;
;
;
",,68.37,87.58,0,1.2,0,0
empty_tensor,,,4.38,4.38,0,0,0,0
aclnnInplaceOne,,,14.83,14.83,1.2,1.2,0,0
record_event,,,6.77,6.77,0.02,0.02,0,0
wait_event,,,2.64,2.64,11.26025,11.26025,0,0
HcclAllreduce,1,,6.04,7.11,0,14327.866750000001,0,0
HcclAllreduce,,,1.07,1.07,14327.866750000001,14327.866750000001,0,0
record_event,,,3.08,3.08,0.02,0.02,0,0
record_event,,,1.76,1.76,0.02,0.02,0,0
wait_event,,,2.58,2.58,13658.453,13658.453,0,0
destroy_event,,,6.53,6.53,0,0,0,0
aten::empty,";
;
;
;
;
",,15.47,15.47,0,0,0,0
aten::to,"3;
;
;
;
;
",,5.69,155.63,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,14.29,149.94,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,13.78,20.02,0,0,0,0
empty_tensor,,,6.24,6.24,0,0,0,0
aten::copy_,"3;
3;
",,115.63,115.63,0,0,0,0
aten::lift_fresh,3,,3.59,3.59,0,0,0,0
aten::detach_,3,,1.44,1.44,0,0,0,0
c10d::broadcast_,";
;
;
;
;
",,45.02,66.73,0,909.5985000000001,0,0
record_event,,,7.69,7.69,0.02,0.02,0,0
wait_event,,,3.01,3.01,2.7,2.7,0,0
HcclBroadcast,3,,3.58,5.44,0,906.8385000000001,0,0
HcclBroadcast,,,1.86,1.86,906.8385000000001,906.8385000000001,0,0
record_event,,,3.53,3.53,0.02,0.02,0,0
record_event,,,2.04,2.04,0.02,0.02,0,0
wait_event,,,2.04,2.04,551.45125,551.45125,0,0
destroy_event,,,1.13,1.13,0,0,0,0
aten::to,"3;
;
;
;
;
;
;
",,7.09,798.66,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,6.23,791.57,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,6.06,6.06,0,0,0,0
aten::copy_,"3;
3;
",,779.28,779.28,0,0,0,0
aten::resolve_conj,3,,2.4,2.4,0,0,0,0
aten::resolve_neg,3,,1.07,1.07,0,0,0,0
minigpt::decode_phase,,,45.74,4941.54,0,8311.18625,0,0
minigpt::decode_control,,,332.58,4895.8,0,8311.18625,0,0
aten::zeros,";
;
;
;
",,10.54,61.66,0,1.36,0,0
empty_tensor,,,12.84,12.84,0,0,0,0
aten::zero_,3,,29.87,38.28,0,1.36,0,0
aclnnInplaceZero,,,8.41,8.41,1.36,1.36,0,0
c10d::broadcast_,";
;
;
;
;
",,37.44,59.2,0,957.4792500000001,0,0
record_event,,,6.09,6.09,0.02,0.02,0,0
wait_event,,,3.66,3.66,0.02,0.02,0,0
HcclBroadcast,3,,2.88,4.78,0,957.39925,0,0
HcclBroadcast,,,1.9,1.9,957.39925,957.39925,0,0
record_event,,,3.91,3.91,0.02,0.02,0,0
record_event,,,3.32,3.32,0.02,0.02,0,0
wait_event,,,2.75,2.75,651.193,651.193,0,0
destroy_event,,,2.07,2.07,0,0,0,0
aten::to,"3;
;
;
;
;
;
;
",,3.8,887.99,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,6.37,884.19,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,4.86,4.86,0,0,0,0
aten::copy_,"3;
3;
",,872.96,872.96,0,0,0,0
aten::resolve_conj,3,,1.7,1.7,0,0,0,0
aten::resolve_neg,3,,0.49,0.49,0,0,0,0
aten::empty,";
;
;
;
;
",,5.02,5.02,0,0,0,0
aten::to,"1;
;
;
;
;
",,2.57,46.94,0,0,0,0
aten::_to_copy,"1;
;
;
;
;
;
",,4.32,44.37,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,9.31,13.69,0,0,0,0
empty_tensor,,,4.38,4.38,0,0,0,0
aten::copy_,"1;
1;
",,26.36,26.36,0,0,0,0
aten::lift_fresh,1,,1.17,1.17,0,0,0,0
aten::detach_,1,,1.16,1.16,0,0,0,0
c10d::allreduce_,";
;
;
;
;
",,36.73,56.83,0,3284.0860000000002,0,0
record_event,,,7.87,7.87,0.02,0.02,0,0
wait_event,,,2.99,2.99,0.0,0.0,0,0
HcclAllreduce,1,,2.29,4.33,0,3284.0260000000003,0,0
HcclAllreduce,,,2.04,2.04,3284.0260000000003,3284.0260000000003,0,0
record_event,,,3.1,3.1,0.02,0.02,0,0
record_event,,,1.81,1.81,0.02,0.02,0,0
wait_event,,,2.24,2.24,2863.05725,2863.05725,0,0
destroy_event,,,1.4,1.4,0,0,0,0
aten::item,1,,4.6,3010.59,0,0,0,0
aten::_local_scalar_dense,1,,3005.99,3005.99,0,0,0,0
aten::zeros,";
;
;
;
",,5.4,39.68,0,0,0,0
empty_tensor,,,5.12,5.12,0,0,0,0
aten::zero_,"0,3",,22.77,29.16,0,0,0,0
aclnnInplaceZero,,,6.39,6.39,0,0,0,0
aten::to,"0,3;
;
;
;
;
;
;
",,3.6,14.62,0,0,0,0
aten::_to_copy,"0,3;
;
;
;
;
;
",,5.19,11.02,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,3.64,3.64,0,0,0,0
aten::copy_,"0,3;
0,3;
",,2.19,2.19,0,0,0,0
aten::resolve_conj,"0,3",,0.77,0.77,0,0,0,0
aten::resolve_neg,"0,3",,0.73,0.73,0,0,0,0
aten::empty,";
;
;
;
;
",,4.6,4.6,0,0,0,0
aten::to,"1;
;
;
;
;
",,2.35,44.83,0,0,0,0
aten::_to_copy,"1;
;
;
;
;
;
",,3.47,42.48,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.04,9.34,0,0,0,0
empty_tensor,,,2.3,2.3,0,0,0,0
aten::copy_,"1;
1;
",,29.67,29.67,0,0,0,0
aten::lift_fresh,1,,0.96,0.96,0,0,0,0
aten::detach_,1,,0.8,0.8,0,0,0,0
c10d::allreduce_,";
;
;
;
;
",,33.26,52.99,0,450.4685,0,0
record_event,,,6.94,6.94,0.02,0.02,0,0
wait_event,,,3.71,3.71,0.0,0.0,0,0
HcclAllreduce,1,,3.01,4.37,0,450.4285,0,0
HcclAllreduce,,,1.36,1.36,450.4285,450.4285,0,0
record_event,,,2.82,2.82,0.0,0.0,0,0
record_event,,,1.89,1.89,0.02,0.02,0,0
wait_event,,,2.51,2.51,103.54225,103.54225,0,0
destroy_event,,,1.5,1.5,0,0,0,0
aten::item,1,,1.98,258.02,0,0,0,0
aten::_local_scalar_dense,1,,256.04,256.04,0,0,0,0
minigpt::prefill_phase,,,192.31,251600.46,0,430921.99575,0,10315.542
minigpt::prefill_control,,,388.64,2806.65,0,3717.134,0,0
aten::zeros,";
;
;
;
",,5.35,39.81,0,1.4,0,0
empty_tensor,,,8.47,8.47,0,0,0,0
aten::zero_,3,,18.96,25.99,0,1.4,0,0
aclnnInplaceZero,,,7.03,7.03,1.4,1.4,0,0
c10d::broadcast_,";
;
;
;
;
",,28.72,47.05,0,728.29425,0,0
record_event,,,5.46,5.46,0.02,0.02,0,0
wait_event,,,2.96,2.96,0.0,0.0,0,0
HcclBroadcast,3,,2.12,4.0,0,728.23425,0,0
HcclBroadcast,,,1.88,1.88,728.23425,728.23425,0,0
record_event,,,3.45,3.45,0.02,0.02,0,0
record_event,,,2.46,2.46,0.02,0.02,0,0
wait_event,,,3.72,3.72,370.1275,370.1275,0,0
destroy_event,,,2.22,2.22,0,0,0,0
aten::to,"3;
;
;
;
;
;
;
",,3.74,594.84,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,5.79,591.1,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,4.56,4.56,0,0,0,0
aten::copy_,"3;
3;
",,580.75,580.75,0,0,0,0
aten::resolve_conj,3,,1.29,1.29,0,0,0,0
aten::resolve_neg,3,,0.5,0.5,0,0,0,0
aten::empty,";
;
;
;
;
",,3.78,3.78,0,0,0,0
aten::to,"1;
;
;
;
;
",,2.43,43.37,0,0,0,0
aten::_to_copy,"1;
;
;
;
;
;
",,4.01,40.94,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,8.11,11.65,0,0,0,0
empty_tensor,,,3.54,3.54,0,0,0,0
aten::copy_,"1;
1;
",,25.28,25.28,0,0,0,0
aten::lift_fresh,1,,1.0,1.0,0,0,0,0
aten::detach_,1,,0.63,0.63,0,0,0,0
