Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::empty,";
;
;
;
;
",,29.79,46.59,0,0,0,0
empty_tensor,,,16.8,16.8,0,0,0,0
c10d::barrier,"1;
;
;
;
",,75.2,150.52,0,10192.604,0,0
aten::ones,";
;
;
;
",,44.56,60.57,0,1.24025,0,0
empty_tensor,,,3.85,3.85,0,0,0,0
aclnnInplaceOne,,,12.16,12.16,1.24025,1.24025,0,0
record_event,,,3.42,3.42,0.02,0.02,0,0
wait_event,,,2.44,2.44,0.02,0.02,0,0
HcclAllreduce,1,,3.35,4.65,0,10191.30375,0,0
HcclAllreduce,,,1.3,1.3,10191.30375,10191.30375,0,0
record_event,,,2.64,2.64,0.0,0.0,0,0
record_event,,,1.6,1.6,0.02,0.02,0,0
wait_event,,,2.13,2.13,9441.84875,9441.84875,0,0
destroy_event,,,7.0,7.0,0,0,0,0
aten::empty,";
;
;
;
;
",,12.47,12.47,0,0,0,0
aten::to,"3;
;
;
;
;
",,5.92,191.12,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,13.14,185.2,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,55.11,60.23,0,0,0,0
empty_tensor,,,5.12,5.12,0,0,0,0
aten::copy_,"3;
3;
",,111.83,111.83,0,0,0,0
aten::lift_fresh,3,,42.66,42.66,0,0,0,0
aten::detach_,3,,1.43,1.43,0,0,0,0
c10d::broadcast_,";
;
;
;
;
",,41.74,62.85,0,860.49725,0,0
record_event,,,7.82,7.82,0.02,0.02,0,0
wait_event,,,3.09,3.09,3.68025,3.68025,0,0
HcclBroadcast,3,,2.95,4.79,0,856.777,0,0
HcclBroadcast,,,1.84,1.84,856.777,856.777,0,0
record_event,,,3.75,3.75,0.02,0.02,0,0
record_event,,,1.66,1.66,0.0,0.0,0,0
wait_event,,,2.65,2.65,486.58975,486.58975,0,0
destroy_event,,,1.41,1.41,0,0,0,0
aten::to,"3;
;
;
;
;
;
;
",,4.63,817.85,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,7.14,813.22,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.16,7.16,0,0,0,0
aten::copy_,"3;
3;
",,798.92,798.92,0,0,0,0
aten::resolve_conj,3,,2.41,2.41,0,0,0,0
aten::resolve_neg,3,,1.03,1.03,0,0,0,0
minigpt::decode_phase,,,51.03,4748.37,0,7475.13,0,0
minigpt::decode_control,,,371.09,4697.34,0,7475.13,0,0
aten::zeros,";
;
;
;
",,9.8,62.43,0,1.4,0,0
empty_tensor,,,12.36,12.36,0,0,0,0
aten::zero_,3,,31.42,40.27,0,1.4,0,0
aclnnInplaceZero,,,8.85,8.85,1.4,1.4,0,0
c10d::broadcast_,";
;
;
;
;
",,41.52,64.8,0,1279.72575,0,0
record_event,,,6.04,6.04,0.0,0.0,0,0
wait_event,,,3.15,3.15,6.78025,6.78025,0,0
HcclBroadcast,3,,4.22,6.91,0,1272.9255,0,0
HcclBroadcast,,,2.69,2.69,1272.9255,1272.9255,0,0
record_event,,,4.57,4.57,0.02,0.02,0,0
record_event,,,2.61,2.61,0.0,0.0,0,0
wait_event,,,3.33,3.33,897.618,897.618,0,0
destroy_event,,,1.47,1.47,0,0,0,0
aten::to,"3;
;
;
;
;
;
;
",,4.44,1213.27,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,6.42,1208.83,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,6.3,6.3,0,0,0,0
aten::copy_,"3;
3;
",,1196.11,1196.11,0,0,0,0
aten::resolve_conj,3,,1.67,1.67,0,0,0,0
aten::resolve_neg,3,,0.68,0.68,0,0,0,0
aten::empty,";
;
;
;
;
",,4.6,4.6,0,0,0,0
