Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,59.41,213.25,0,2.32025,0,0
empty_tensor,,,30.1,30.1,0,0,0,0
aten::fill_,"4,8;
",,106.17,123.74,0,2.32025,0,0
aclnnInplaceFillScalar,,,17.57,17.57,2.32025,2.32025,0,0
aten::zeros_like,"4,8;
;
;
;
;
",,31.7,105.29,0,1.66,0,0
aten::empty_like,"4,8;
;
;
;
;
",,30.52,48.15,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,13.05,17.63,0,0,0,0
empty_tensor,,,4.58,4.58,0,0,0,0
aten::zero_,"4,8",,20.95,25.44,0,1.66,0,0
aclnnInplaceZero,,,4.49,4.49,1.66,1.66,0,0
aten::empty,";
;
;
;
;
",,15.42,15.42,0,0,0,0
aten::to,"6;
;
;
;
;
",,8.71,233.79,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,18.64,225.08,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.98,9.61,0,0,0,0
empty_tensor,,,3.63,3.63,0,0,0,0
aten::copy_,"6;
6;
",,196.83,196.83,0,0,0,0
aten::lift_fresh,6,,29.56,29.56,0,0,0,0
aten::detach_,6,,2.1,2.1,0,0,0,0
aten::select,"4,8;
;
",,20.51,54.26,0,0,0,0
aten::as_strided,"4,8;
;
;
",,33.75,33.75,0,0,0,0
aten::slice,"8;
;
;
;
",,7.27,9.98,0,0,0,0
aten::as_strided,"8;
;
;
",,2.71,2.71,0,0,0,0
aten::copy_,"6;
6;
",,147.92,159.43,0,0.76,0,0
aclnnInplaceCopy,,,11.51,11.51,0.76,0.76,0,0
aten::scalar_tensor,";
;
;
;
",,14.87,69.3,0,1.4,0,0
aten::empty,";
;
;
;
;
",,6.66,30.36,0,0,0,0
empty_tensor,,,23.7,23.7,0,0,0,0
