Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,";
;
;
",,2.96,2.96,0,0,0,0
aten::copy_,"544;
544;
",,14.97,24.36,0,3.98,0,0
aclnnInplaceCopy,,,9.39,9.39,3.98,3.98,0,0
aten::arange,";
;
;
;
",,21.87,34.02,0,10.58,0,0
empty_tensor,,,4.01,4.01,0,0,0,0
aclnnArange,,,8.14,8.14,10.58,10.58,0,0
aten::expand_as,"544;
1,544",,4.14,11.68,0,0,0,0
aten::expand,"544;
;
",,3.78,7.54,0,0,0,0
aten::as_strided,"544;
;
;
",,3.76,3.76,0,0,0,0
aten::to,"1,544;
;
;
;
",,2.97,2.97,0,0,0,0
aten::bitwise_not,"1,544",,22.77,35.34,0,1.58,0,0
empty_tensor,,,4.21,4.21,0,0,0,0
aclnnBitwiseNot,,,8.36,8.36,1.58,1.58,0,0
aten::masked_fill,"1,544;
1,544;
",,15.61,135.97,0,92.06,0,0
aten::clone,"1,544;
",,3.79,48.07,0,0.56,0,0
empty_tensor,,,4.41,4.41,0,0,0,0
aten::copy_,"1,544;
1,544;
",,31.09,39.87,0,0.56,0,0
aclnnInplaceCopy,,,8.78,8.78,0.56,0.56,0,0
aten::masked_fill_,"1,544;
1,544;
",,60.64,72.29,0,91.5,0,0
aclnnInplaceMaskedFillScalar,,,11.65,11.65,91.5,91.5,0,0
aten::max,"1,544;
;
",,25.11,38.44,0,15.219999999999999,0,0
empty_tensor,,,5.16,5.16,0,0,0,0
empty_tensor,,,3.52,3.52,0,0,0,0
aclnnMaxDim,,,4.65,4.65,15.219999999999999,15.219999999999999,0,0
aten::lt,"1;
",,16.53,24.31,0,3.02,0,0
empty_tensor,,,3.09,3.09,0,0,0,0
aclnnLtScalar,,,4.69,4.69,3.02,3.02,0,0
aten::any,1,,14.83,22.2,0,1.28,0,0
empty_tensor,,,3.52,3.52,0,0,0,0
aclnnAny,,,3.85,3.85,1.28,1.28,0,0
aten::is_nonzero,,,2.9,99.06,0,0,0,0
aten::item,,,3.5,96.16,0,0,0,0
aten::_local_scalar_dense,,,92.66,92.66,0,0,0,0
aten::to,"1,544;
;
;
;
",,5.59,52.65,0,1.3,0,0
aten::_to_copy,"1,544;
;
;
;
;
;
",,6.39,47.06,0,1.3,0,0
aten::empty_strided,";
;
;
;
;
",,8.38,12.41,0,0,0,0
empty_tensor,,,4.03,4.03,0,0,0,0
aten::copy_,"1,544;
1,544;
",,18.13,28.26,0,1.3,0,0
aclnnInplaceCopy,,,10.13,10.13,1.3,1.3,0,0
aten::cumsum,"1,544;
;
",,3.89,78.1,0,56.0,0,0
aten::cumsum,"1,544;
;
",,61.4,74.21,0,56.0,0,0
empty_tensor,,,4.39,4.39,0,0,0,0
aclnnCumsum,,,8.42,8.42,56.0,56.0,0,0
