Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,N/A,PROFILING_ENABLE,48,5,0.020,1789113155164709.383	,1789113155164709.403	
3,Fill_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,2306,2.180,1789113155174418.417	,1789113155174420.597	
3,ZerosLike_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,2307,1.540,1789113155174449.038	,1789113155174450.578	
3,N/A,MEMCPY_ASYNC,47,2308,0.760,1789113155174816.345	,1789113155174817.105	
3,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2309,1.600,1789113155174857.066	,1789113155174858.666	
3,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2310,1.280,1789113155174925.027	,1789113155174926.307	
3,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2311,1.500,1789113155174936.808	,1789113155174938.308	
3,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2312,1.480,1789113155174939.828	,1789113155174941.308	
3,N/A,MEMCPY_ASYNC,47,2313,0.640,1789113155175076.330	,1789113155175076.970	
3,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2314,1.200,1789113155175107.311	,1789113155175108.511	
3,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2315,1.180,1789113155175145.712	,1789113155175146.892	
3,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2316,1.340,1789113155175161.172	,1789113155175162.512	
3,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2317,1.340,1789113155175162.992	,1789113155175164.332	
3,N/A,MEMCPY_ASYNC,47,2318,0.900,1789113155175307.615	,1789113155175308.515	
3,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2319,1.240,1789113155175330.895	,1789113155175332.136	
3,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2320,1.200,1789113155175372.496	,1789113155175373.696	
3,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2321,1.400,1789113155175380.296	,1789113155175381.697	
3,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2322,1.320,1789113155175383.177	,1789113155175384.497	
3,N/A,MEMCPY_ASYNC,47,2323,0.640,1789113155175514.619	,1789113155175515.259	
3,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2324,1.320,1789113155175548.780	,1789113155175550.100	
3,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2325,1.240,1789113155175582.601	,1789113155175583.841	
3,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2326,1.380,1789113155175585.201	,1789113155175586.581	
3,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2327,1.360,1789113155175586.701	,1789113155175588.061	
3,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,2328,1.340,1789113155175743.004	,1789113155175744.344	
3,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,2329,2.680,1789113155175804.725	,1789113155175807.405	
3,LessEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,2330,2.920,1789113155175837.946	,1789113155175840.866	
3,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_50000400,MIX_AIV,47,2331,3.160,1789113155175888.767	,1789113155175891.927	
3,Range_a32d70ed63082227463347a44bd5a08e_high_performance__kernel0,AI_VECTOR_CORE,47,2332,7.960,1789113155176046.370	,1789113155176054.330	
3,LogicalNot_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,2333,1.440,1789113155176104.151	,1789113155176105.591	
3,BroadcastTo_41dadce325b0f810d03359af2a38990b_high_performance_221000000,AI_VECTOR_CORE,47,2334,2.140,1789113155176151.972	,1789113155176154.112	
3,MaskedFill,AI_CPU,47,2335,107.742,1789113155176295.155	,1789113155176402.897	
3,ArgMaxWithValue_65b8831ee054f9f32f9460360bd29bf1_high_performance_5,AI_VECTOR_CORE,47,2336,2.740,1789113155176402.937	,1789113155176405.677	
3,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,AI_VECTOR_CORE,47,2337,1.460,1789113155176405.697	,1789113155176407.157	
3,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,2338,2.460,1789113155176407.177	,1789113155176409.637	
3,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_50000400,MIX_AIV,47,2339,1.900,1789113155176410.997	,1789113155176412.897	
3,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,2340,1.140,1789113155176522.099	,1789113155176523.239	
3,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,2341,2.760,1789113155176552.140	,1789113155176554.900	
3,ReduceMax_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_50000400,MIX_AIV,47,2342,2.480,1789113155176585.521	,1789113155176588.001	
