Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,74.68,186.18,0,2.02,0,0
empty_tensor,,,25.49,25.49,0,0,0,0
aten::fill_,"1,6;
",,74.67,86.01,0,2.02,0,0
aclnnInplaceFillScalar,,,11.34,11.34,2.02,2.02,0,0
aten::zeros_like,"1,6;
;
;
;
;
",,11.99,54.2,0,1.6,0,0
aten::empty_like,"1,6;
;
;
;
;
",,11.89,25.41,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,10.61,13.52,0,0,0,0
empty_tensor,,,2.91,2.91,0,0,0,0
aten::zero_,"1,6",,14.55,16.8,0,1.6,0,0
aclnnInplaceZero,,,2.25,2.25,1.6,1.6,0,0
aten::empty,";
;
;
;
;
",,27.02,27.02,0,0,0,0
aten::to,"6;
;
;
;
;
",,5.97,145.67,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,26.63,139.7,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.34,7.63,0,0,0,0
empty_tensor,,,2.29,2.29,0,0,0,0
aten::copy_,"6;
6;
",,105.44,105.44,0,0,0,0
aten::lift_fresh,6,,3.83,3.83,0,0,0,0
aten::detach_,6,,1.95,1.95,0,0,0,0
aten::select,"1,6;
;
",,13.77,21.79,0,0,0,0
aten::as_strided,"1,6;
;
;
",,8.02,8.02,0,0,0,0
aten::copy_,"6;
6;
",,83.02,89.68,0,0.76025,0,0
aclnnInplaceCopy,,,6.66,6.66,0.76025,0.76025,0,0
aten::scalar_tensor,";
;
;
;
",,9.88,37.64,0,1.38,0,0
aten::empty,";
;
;
;
;
",,3.69,8.79,0,0,0,0
empty_tensor,,,5.1,5.1,0,0,0,0
aten::fill_,";
",,14.26,18.97,0,1.38,0,0
aclnnInplaceFillScalar,,,4.71,4.71,1.38,1.38,0,0
aten::select,"1,6;
;
",,5.14,8.73,0,0,0,0
aten::as_strided,"1,6;
;
;
",,3.59,3.59,0,0,0,0
aten::view,";
",,3.69,3.69,0,0,0,0
aten::expand,";
;
",,4.66,7.49,0,0,0,0
aten::as_strided,";
;
;
",,2.83,2.83,0,0,0,0
aten::copy_,"6;
6;
",,16.43,20.77,0,4.36,0,0
aclnnInplaceCopy,,,4.34,4.34,4.36,4.36,0,0
minigpt::prefill_phase,,,137.61,223208.19,0,312462.4705,0,10092.65925
minigpt::prefill_model,,,45232.15,222388.21,0,311608.5735,0,10092.65925
aten::to,"1,6;
;
;
;
",,5.14,42.53,0,1.34,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,6.75,37.39,0,1.34,0,0
aten::empty_strided,";
;
;
;
;
",,6.51,10.08,0,0,0,0
empty_tensor,,,3.57,3.57,0,0,0,0
aten::copy_,"1,6;
1,6;
",,14.76,20.56,0,1.34,0,0
aclnnInplaceCopy,,,5.8,5.8,1.34,1.34,0,0
aten::sum,"1,6;
;
;
",,18.5,26.59,0,3.00025,0,0
empty_tensor,,,4.2,4.2,0,0,0,0
aclnnReduceSum,,,3.89,3.89,3.00025,3.00025,0,0
aten::le,"1;
",,47.73,55.19,0,2.78,0,0
empty_tensor,,,3.22,3.22,0,0,0,0
aclnnLeScalar,,,4.24,4.24,2.78,2.78,0,0
aten::any,1,,15.51,21.14,0,1.72,0,0
empty_tensor,,,2.76,2.76,0,0,0,0
aclnnAny,,,2.87,2.87,1.72,1.72,0,0
aten::is_nonzero,,,6.13,141.43,0,0,0,0
aten::item,,,6.2,135.3,0,0,0,0
aten::_local_scalar_dense,,,129.1,129.1,0,0,0,0
aten::arange,";
;
;
;
",,20.99,30.58,0,8.4,0,0
empty_tensor,,,4.37,4.37,0,0,0,0
aclnnArange,,,5.22,5.22,8.4,8.4,0,0
aten::expand_as,"6;
1,6",,5.47,13.74,0,0,0,0
aten::expand,"6;
;
",,4.91,8.27,0,0,0,0
aten::as_strided,"6;
;
;
",,3.36,3.36,0,0,0,0
aten::to,"1,6;
;
;
;
",,1.9,1.9,0,0,0,0
aten::bitwise_not,"1,6",,16.18,24.79,0,1.42,0,0
empty_tensor,,,3.64,3.64,0,0,0,0
aclnnBitwiseNot,,,4.97,4.97,1.42,1.42,0,0
aten::masked_fill,"1,6;
1,6;
",,14.83,118.49,0,120.8025,0,0
aten::clone,"1,6;
",,4.6,53.87,0,0.72,0,0
empty_tensor,,,3.38,3.38,0,0,0,0
aten::copy_,"1,6;
1,6;
",,40.99,45.89,0,0.72,0,0
aclnnInplaceCopy,,,4.9,4.9,0.72,0.72,0,0
aten::masked_fill_,"1,6;
1,6;
",,44.51,49.79,0,120.0825,0,0
aclnnInplaceMaskedFillScalar,,,5.28,5.28,120.0825,120.0825,0,0
aten::max,"1,6;
;
",,39.61,50.9,0,3.54,0,0
empty_tensor,,,3.94,3.94,0,0,0,0
empty_tensor,,,2.92,2.92,0,0,0,0
aclnnMaxDim,,,4.43,4.43,3.54,3.54,0,0
aten::lt,"1;
",,12.62,20.14,0,3.16,0,0
empty_tensor,,,3.04,3.04,0,0,0,0
aclnnLtScalar,,,4.48,4.48,3.16,3.16,0,0
aten::any,1,,13.07,18.75,0,1.18,0,0
empty_tensor,,,2.87,2.87,0,0,0,0
aclnnAny,,,2.81,2.81,1.18,1.18,0,0
aten::is_nonzero,,,2.76,56.52,0,0,0,0
aten::item,,,2.34,53.76,0,0,0,0
aten::_local_scalar_dense,,,51.42,51.42,0,0,0,0
aten::to,"1,6;
;
;
;
",,4.11,38.07,0,1.22,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,6.23,33.96,0,1.22,0,0
aten::empty_strided,";
;
;
;
;
",,6.43,9.0,0,0,0,0
empty_tensor,,,2.57,2.57,0,0,0,0
aten::copy_,"1,6;
1,6;
",,13.22,18.73,0,1.22,0,0
aclnnInplaceCopy,,,5.51,5.51,1.22,1.22,0,0
aten::sum,"1,6;
;
;
",,13.33,21.14,0,2.1,0,0
empty_tensor,,,3.43,3.43,0,0,0,0
aclnnReduceSum,,,4.38,4.38,2.1,2.1,0,0
aten::max,1,,13.67,21.05,0,1.62,0,0
empty_tensor,,,2.6,2.6,0,0,0,0
aclnnMax,,,4.78,4.78,1.62,1.62,0,0
aten::item,,,1.88,43.07,0,0,0,0
aten::_local_scalar_dense,,,41.19,41.19,0,0,0,0
aten::to,"1,6;
;
;
;
",,5.42,51.52,0,1.22,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,7.02,46.1,0,1.22,0,0
aten::empty_strided,";
;
;
;
;
",,7.97,12.11,0,0,0,0
empty_tensor,,,4.14,4.14,0,0,0,0
aten::copy_,"1,6;
1,6;
",,20.01,26.97,0,1.22,0,0
aclnnInplaceCopy,,,6.96,6.96,1.22,1.22,0,0
aten::sum,"1,6;
;
;
",,25.14,47.86,0,2.0,0,0
aten::sum,"1,6;
;
;
",,13.77,22.72,0,2.0,0,0
empty_tensor,,,4.16,4.16,0,0,0,0
aclnnReduceSum,,,4.79,4.79,2.0,2.0,0,0
aten::le,"1;
",,10.57,18.2,0,2.40025,0,0
empty_tensor,,,2.76,2.76,0,0,0,0
