Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::_local_scalar_dense,,,52.67,52.67,0,0,0,0
aten::to,"1,6;
;
;
;
",,4.33,46.1,0,1.24,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,7.13,41.77,0,1.24,0,0
aten::empty_strided,";
;
;
;
;
",,7.33,11.06,0,0,0,0
empty_tensor,,,3.73,3.73,0,0,0,0
aten::copy_,"1,6;
1,6;
",,17.86,23.58,0,1.24,0,0
aclnnInplaceCopy,,,5.72,5.72,1.24,1.24,0,0
aten::sum,"1,6;
;
;
",,4.72,25.78,0,2.14,0,0
aten::sum,"1,6;
;
;
",,13.15,21.06,0,2.14,0,0
empty_tensor,,,3.67,3.67,0,0,0,0
aclnnReduceSum,,,4.24,4.24,2.14,2.14,0,0
aten::le,"1;
",,10.16,16.16,0,2.54,0,0
empty_tensor,,,2.64,2.64,0,0,0,0
aclnnLeScalar,,,3.36,3.36,2.54,2.54,0,0
aten::any,1,,10.62,18.04,0,1.3,0,0
empty_tensor,,,3.71,3.71,0,0,0,0
aclnnAny,,,3.71,3.71,1.3,1.3,0,0
aten::is_nonzero,,,1.8,47.71,0,0,0,0
aten::item,,,1.89,45.91,0,0,0,0
aten::_local_scalar_dense,,,44.02,44.02,0,0,0,0
aten::max,1,,12.67,20.68,0,1.32,0,0
empty_tensor,,,3.52,3.52,0,0,0,0
aclnnMax,,,4.49,4.49,1.32,1.32,0,0
aten::item,,,1.75,36.24,0,0,0,0
aten::_local_scalar_dense,,,34.49,34.49,0,0,0,0
aten::arange,";
;
;
;
",,15.33,23.17,0,4.86,0,0
empty_tensor,,,3.54,3.54,0,0,0,0
aclnnArange,,,4.3,4.3,4.86,4.86,0,0
aten::slice,"1;
;
;
;
",,6.78,10.88,0,0,0,0
aten::as_strided,"1;
;
;
",,4.1,4.1,0,0,0,0
aten::zero_,1,,10.14,14.13,0,1.42025,0,0
aclnnInplaceZero,,,3.99,3.99,1.42025,1.42025,0,0
aten::to,"1,6;
;
;
;
",,2.65,28.76,0,1.16,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,4.44,26.11,0,1.16,0,0
