Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PROFILING_ENABLE,48,5,0.000,1789113155188822.474	,1789113155188822.474	
1,Fill_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,2306,2.180,1789113155198515.367	,1789113155198517.547	
1,ZerosLike_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,2307,1.620,1789113155198565.988	,1789113155198567.608	
1,N/A,MEMCPY_ASYNC,47,2308,0.760,1789113155199212.101	,1789113155199212.861	
1,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2309,1.360,1789113155199276.083	,1789113155199277.443	
1,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2310,1.280,1789113155199309.863	,1789113155199311.143	
1,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2311,1.420,1789113155199322.944	,1789113155199324.364	
1,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2312,1.440,1789113155199338.344	,1789113155199339.784	
1,N/A,MEMCPY_ASYNC,47,2313,0.640,1789113155199489.547	,1789113155199490.187	
1,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,2314,1.280,1789113155199516.567	,1789113155199517.847	
1,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,2315,1.220,1789113155199561.028	,1789113155199562.248	
1,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,2316,1.440,1789113155199574.129	,1789113155199575.569	
1,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,2317,1.500,1789113155199576.049	,1789113155199577.549	
1,N/A,MEMCPY_ASYNC,47,2318,0.800,1789113155199711.831	,1789113155199712.631	
