Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,1796,166780.02,8.28,92.861,676.52,28.024
0,allreduceAicpuKernel,AI_CPU,516,114412.8,176.92,221.73,462.34,19.224
0,IndexPut,AI_CPU,512,105465.48,133.34,205.987,458.62,17.721
0,Index,AI_CPU,128,69498.5,472.04,542.957,710.52,11.678
0,Mul,AI_VECTOR_CORE,3340,21906.46,1.52,6.558,29.48,3.681
0,Index,AI_VECTOR_CORE,1476,15988.28,6.74,10.832,35.9,2.686
0,FlashAttentionScore,MIX_AIC,256,15623.56,35,61.029,137.16,2.625
0,Pows,AI_VECTOR_CORE,1028,9377.28,1.64,9.121,19.62,1.576
0,ReduceMean,MIX_AIV,1028,9317.38,1.84,9.063,26,1.566
0,IndexCheck,AI_VECTOR_CORE,2120,8672.2,1.86,4.09,14.54,1.457
0,MemSet,AI_VECTOR_CORE,844,7632.38,5.42,9.043,21.54,1.282
0,Transpose,AI_VECTOR_CORE,320,7255.28,12.86,22.672,34.54,1.219
0,Add,AI_VECTOR_CORE,2055,6948.62,1.22,3.381,27.78,1.168
0,Cast,AI_VECTOR_CORE,2082,6942.96,1.1,3.334,12.28,1.167
0,Slice,AI_VECTOR_CORE,2048,6291.56,1.34,3.072,5.3,1.057
0,Range,AI_VECTOR_CORE,390,3448.88,3.76,8.843,16.22,0.58
0,NonZero,MIX_AIV,832,3015.24,2.72,3.624,9.06,0.507
0,ConcatD,AI_VECTOR_CORE,520,2624.24,3.58,5.046,18.82,0.441
0,AsStrided,AI_VECTOR_CORE,256,2279.92,5.92,8.905,12.08,0.383
0,Swish,AI_VECTOR_CORE,256,2050.44,2.8,8.009,23.94,0.345
0,Neg,AI_VECTOR_CORE,512,1589.5,1.18,3.104,9.82,0.267
0,Rsqrt,AI_VECTOR_CORE,1028,1510.9,1.12,1.469,3.7,0.254
0,LogicalAnd,AI_VECTOR_CORE,68,957.68,1.38,14.083,16.22,0.161
0,Tril,AI_VECTOR_CORE,64,917.98,13.72,14.343,14.8,0.154
0,LogicalNot,AI_VECTOR_CORE,265,869.36,1.26,3.28,11.6,0.146
0,allgatherAicpuKernel,AI_CPU,4,780.06,156.54,195.015,267.66,0.131
0,broadcastAicpuKernel,AI_CPU,4,773.92,167.76,193.48,221.58,0.13
0,Less,AI_VECTOR_CORE,201,616.22,2.22,3.065,3.48,0.104
0,OnesLike,AI_VECTOR_CORE,67,571.28,1.58,8.526,14.48,0.096
0,MaskedFill,AI_CPU,5,416.48,61.78,83.296,108,0.07
0,PadV3,MIX_AIV,12,146.54,8.32,12.211,18.06,0.025
0,Cumsum,AI_CPU,1,98.72,98.72,98.72,98.72,0.017
0,ArgMaxV2,AI_VECTOR_CORE,4,79.38,19.72,19.845,20.04,0.013
0,GatherV2,AI_VECTOR_CORE,4,46.44,9.68,11.61,16.88,0.008
0,MaskedFill,AI_VECTOR_CORE,4,42.82,3.16,10.705,33,0.007
0,GreaterEqual,AI_VECTOR_CORE,8,22,2.38,2.75,3.36,0.004
0,ReduceAny,MIX_AIV,11,18.18,1.24,1.652,3.1,0.003
0,ReduceSum,MIX_AIV,3,17.58,5.66,5.86,6.16,0.003
0,ReduceMax,MIX_AIV,9,16.86,1.66,1.873,2.02,0.003
0,Cos,AI_VECTOR_CORE,4,15,2,3.75,8.64,0.003
0,Sin,AI_VECTOR_CORE,4,14.86,1.98,3.715,8.74,0.002
0,ArgMaxWithValue,AI_VECTOR_CORE,1,13.92,13.92,13.92,13.92,0.002
0,Sub,AI_VECTOR_CORE,5,13.32,2.18,2.664,3.24,0.002
0,TensorMove,AI_VECTOR_CORE,1,11.98,11.98,11.98,11.98,0.002
0,ZerosLike,AI_VECTOR_CORE,5,9.44,1.8,1.888,1.98,0.002
0,IndexPutV2,AI_VECTOR_CORE,4,9.42,2.3,2.355,2.4,0.002
0,BroadcastTo,AI_VECTOR_CORE,5,8.26,1.44,1.652,2.16,0.001
0,SelectV2,AI_VECTOR_CORE,3,8.16,2.5,2.72,2.94,0.001
0,ClipByValueV2,AI_VECTOR_CORE,1,5.62,5.62,5.62,5.62,0.001
0,LessEqual,AI_VECTOR_CORE,2,5.06,2.48,2.53,2.58,0.001
0,Fill,AI_VECTOR_CORE,2,4.06,1.74,2.03,2.32,0.001
