Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,52.07,180.85,0,2.0,0,0
empty_tensor,,,28.37,28.37,0,0,0,0
aten::fill_,"1,6;
",,82.06,100.41,0,2.0,0,0
aclnnInplaceFillScalar,,,18.35,18.35,2.0,2.0,0,0
aten::zeros_like,"1,6;
;
;
;
;
",,34.67,95.19,0,1.56025,0,0
aten::empty_like,"1,6;
;
;
;
;
",,21.12,37.37,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,11.99,16.25,0,0,0,0
empty_tensor,,,4.26,4.26,0,0,0,0
aten::zero_,"1,6",,18.45,23.15,0,1.56025,0,0
aclnnInplaceZero,,,4.7,4.7,1.56025,1.56025,0,0
aten::empty,";
;
;
;
;
",,17.55,17.55,0,0,0,0
aten::to,"6;
;
;
;
;
",,9.61,269.02,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,20.57,259.41,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,6.87,9.98,0,0,0,0
empty_tensor,,,3.11,3.11,0,0,0,0
aten::copy_,"6;
6;
",,228.86,228.86,0,0,0,0
aten::lift_fresh,6,,28.87,28.87,0,0,0,0
aten::detach_,6,,1.63,1.63,0,0,0,0
aten::select,"1,6;
;
",,15.99,64.52,0,0,0,0
aten::as_strided,"1,6;
;
;
",,48.53,48.53,0,0,0,0
aten::copy_,"6;
6;
",,130.6,142.74,0,0.78025,0,0
aclnnInplaceCopy,,,12.14,12.14,0.78025,0.78025,0,0
aten::scalar_tensor,";
;
;
;
",,14.05,67.77,0,1.38025,0,0
aten::empty,";
;
;
;
;
",,5.79,28.64,0,0,0,0
empty_tensor,,,22.85,22.85,0,0,0,0
aten::fill_,";
",,19.57,25.08,0,1.38025,0,0
aclnnInplaceFillScalar,,,5.51,5.51,1.38025,1.38025,0,0
aten::select,"1,6;
;
",,4.38,8.17,0,0,0,0
aten::as_strided,"1,6;
;
;
",,3.79,3.79,0,0,0,0
aten::view,";
",,5.25,5.25,0,0,0,0
aten::expand,";
;
",,4.81,9.42,0,0,0,0
