Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,33.04,143.01,0,1.96,0,0
empty_tensor,,,25.02,25.02,0,0,0,0
aten::fill_,"1,6;
",,67.82,84.95,0,1.96,0,0
aclnnInplaceFillScalar,,,17.13,17.13,1.96,1.96,0,0
aten::zeros_like,"1,6;
;
;
;
;
",,15.45,65.27,0,1.82,0,0
aten::empty_like,"1,6;
;
;
;
;
",,13.32,27.54,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,10.45,14.22,0,0,0,0
empty_tensor,,,3.77,3.77,0,0,0,0
aten::zero_,"1,6",,17.65,22.28,0,1.82,0,0
aclnnInplaceZero,,,4.63,4.63,1.82,1.82,0,0
aten::empty,";
;
;
;
;
",,14.42,14.42,0,0,0,0
aten::to,"6;
;
;
;
;
",,6.52,132.04,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,17.76,125.52,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.06,10.46,0,0,0,0
empty_tensor,,,3.4,3.4,0,0,0,0
aten::copy_,"6;
6;
",,97.3,97.3,0,0,0,0
aten::lift_fresh,6,,5.15,5.15,0,0,0,0
aten::detach_,6,,2.28,2.28,0,0,0,0
aten::select,"1,6;
;
",,12.65,22.11,0,0,0,0
aten::as_strided,"1,6;
;
;
",,9.46,9.46,0,0,0,0
aten::copy_,"6;
6;
",,94.22,105.5,0,0.74,0,0
aclnnInplaceCopy,,,11.28,11.28,0.74,0.74,0,0
aten::scalar_tensor,";
;
;
;
",,9.39,45.82,0,1.36,0,0
aten::empty,";
;
;
;
;
",,4.58,11.33,0,0,0,0
empty_tensor,,,6.75,6.75,0,0,0,0
aten::fill_,";
",,18.47,25.1,0,1.36,0,0
aclnnInplaceFillScalar,,,6.63,6.63,1.36,1.36,0,0
aten::select,"1,6;
;
",,4.36,8.62,0,0,0,0
aten::as_strided,"1,6;
;
;
",,4.26,4.26,0,0,0,0
aten::view,";
",,3.51,3.51,0,0,0,0
aten::expand,";
;
",,4.7,7.72,0,0,0,0
aten::as_strided,";
;
;
",,3.02,3.02,0,0,0,0
aten::copy_,"6;
6;
",,19.16,28.24,0,4.2002500000000005,0,0
aclnnInplaceCopy,,,9.08,9.08,4.2002500000000005,4.2002500000000005,0,0
minigpt::prefill_phase,,,149.74,220630.77,0,349072.4975,0,10083.32425
minigpt::prefill_model,,,39331.38,219531.76,0,347715.81075,0,10083.32425
