Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
HcclAllreduce,1,,2.66,4.71,0,379.9475,0,0
HcclAllreduce,,,2.05,2.05,379.9475,379.9475,0,0
record_event,,,5.81,5.81,0.0,0.0,0,0
record_event,,,4.76,4.76,0.0,0.0,0,0
wait_event,,,3.53,3.53,16.4205,16.4205,0,0
destroy_event,,,2.05,2.05,0,0,0,0
aten::item,1,,2.24,207.61,0,0,0,0
aten::_local_scalar_dense,1,,205.37,205.37,0,0,0,0
minigpt::prefill_phase,,,199.63,307403.5,0,296285.4895,0,10351.0245
minigpt::prefill_control,,,493.89,3132.66,0,3805.3565,0,0
aten::zeros,";
;
;
;
",,5.49,42.65,0,1.3,0,0
empty_tensor,,,6.85,6.85,0,0,0,0
aten::zero_,3,,21.32,30.31,0,1.3,0,0
aclnnInplaceZero,,,8.99,8.99,1.3,1.3,0,0
c10d::broadcast_,";
;
;
;
;
",,31.45,70.14,0,545.89075,0,0
record_event,,,9.91,9.91,0.02,0.02,0,0
wait_event,,,15.43,15.43,0.02,0.02,0,0
HcclBroadcast,3,,2.08,3.39,0,545.81075,0,0
HcclBroadcast,,,1.31,1.31,545.81075,545.81075,0,0
record_event,,,5.18,5.18,0.02,0.02,0,0
record_event,,,4.78,4.78,0.02,0.02,0,0
wait_event,,,3.25,3.25,203.00425,203.00425,0,0
destroy_event,,,1.38,1.38,0,0,0,0
aten::to,"3;
;
;
;
;
;
;
",,3.4,411.45,0,0,0,0
aten::_to_copy,"3;
;
;
;
;
;
",,5.9,408.05,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.39,5.39,0,0,0,0
aten::copy_,"3;
3;
",,396.76,396.76,0,0,0,0
aten::resolve_conj,3,,0.99,0.99,0,0,0,0
aten::resolve_neg,3,,0.46,0.46,0,0,0,0
aten::empty,";
;
;
;
;
",,4.74,4.74,0,0,0,0
aten::to,"1;
;
;
;
;
",,12.11,53.87,0,0,0,0
aten::_to_copy,"1;
;
;
;
;
;
",,3.99,41.76,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.63,10.85,0,0,0,0
empty_tensor,,,3.22,3.22,0,0,0,0
aten::copy_,"1;
1;
",,26.92,26.92,0,0,0,0
aten::lift_fresh,1,,1.62,1.62,0,0,0,0
aten::detach_,1,,0.75,0.75,0,0,0,0
c10d::allreduce_,";
;
;
;
;
",,35.18,68.14,0,390.00775,0,0
record_event,,,10.93,10.93,0.02,0.02,0,0
wait_event,,,3.59,3.59,0.02,0.02,0,0
HcclAllreduce,1,,2.05,5.68,0,389.92775,0,0
HcclAllreduce,,,3.63,3.63,389.92775,389.92775,0,0
record_event,,,7.82,7.82,0.02,0.02,0,0
record_event,,,4.94,4.94,0.02,0.02,0,0
wait_event,,,5.48,5.48,109.00225,109.00225,0,0
destroy_event,,,1.26,1.26,0,0,0,0
aten::item,1,,2.59,295.84,0,0,0,0
aten::_local_scalar_dense,1,,293.25,293.25,0,0,0,0
aten::zeros,";
;
;
;
",,4.85,39.62,0,1.36,0,0
empty_tensor,,,5.79,5.79,0,0,0,0
aten::zero_,"4,3",,21.29,28.98,0,1.36,0,0
aclnnInplaceZero,,,7.69,7.69,1.36,1.36,0,0
c10d::broadcast_,";
;
;
;
;
",,34.88,69.73,0,247.9055,0,0
record_event,,,8.46,8.46,0.0,0.0,0,0
wait_event,,,14.04,14.04,0.02,0.02,0,0
HcclBroadcast,"4,3",,1.75,2.82,0,247.84550000000002,0,0
HcclBroadcast,,,1.07,1.07,247.84550000000002,247.84550000000002,0,0
record_event,,,5.4,5.4,0.02,0.02,0,0
record_event,,,4.13,4.13,0.02,0.02,0,0
wait_event,,,2.43,2.43,32.30075,32.30075,0,0
destroy_event,,,3.9,3.9,0,0,0,0
aten::to,"4,3;
;
;
;
;
;
;
",,3.92,226.5,0,0,0,0
aten::_to_copy,"4,3;
;
;
;
;
;
",,5.71,222.58,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,4.04,4.04,0,0,0,0
aten::copy_,"4,3;
4,3;
",,212.83,212.83,0,0,0,0
aten::resolve_conj,"4,3",,1.02,1.02,0,0,0,0
aten::resolve_neg,"4,3",,2.98,2.98,0,0,0,0
aten::empty,";
;
;
;
;
",,4.79,4.79,0,0,0,0
aten::to,"1;
;
;
;
;
",,1.82,45.28,0,0,0,0
aten::_to_copy,"1;
;
;
;
;
;
",,3.87,43.46,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,6.54,9.86,0,0,0,0
empty_tensor,,,3.32,3.32,0,0,0,0
aten::copy_,"1;
1;
",,29.73,29.73,0,0,0,0
aten::lift_fresh,1,,4.47,4.47,0,0,0,0
aten::detach_,1,,0.5,0.5,0,0,0,0
c10d::allreduce_,";
;
;
;
;
",,32.25,62.98,0,1276.4455,0,0
record_event,,,10.09,10.09,0.02,0.02,0,0
wait_event,,,3.52,3.52,0.02,0.02,0,0
HcclAllreduce,1,,1.86,7.11,0,1276.3654999999999,0,0
HcclAllreduce,,,5.25,5.25,1276.3654999999999,1276.3654999999999,0,0
record_event,,,8.3,8.3,0.02,0.02,0,0
record_event,,,1.71,1.71,0.02,0.02,0,0
wait_event,,,5.16,5.16,998.13975,998.13975,0,0
destroy_event,,,1.39,1.39,0,0,0,0
aten::item,1,,2.27,1206.0,0,0,0,0
aten::_local_scalar_dense,1,,1203.73,1203.73,0,0,0,0
minigpt::prefill_prepare,,,317.15,1305.82,0,28.04075,0,0
aten::full,";
;
;
;
;
",,9.43,53.93,0,2.0,0,0
empty_tensor,,,7.35,7.35,0,0,0,0
aten::fill_,"4,8;
",,26.62,37.15,0,2.0,0,0
aclnnInplaceFillScalar,,,10.53,10.53,2.0,2.0,0,0
aten::zeros_like,"4,8;
;
;
;
;
",,20.66,61.25,0,1.88,0,0
aten::empty_like,"4,8;
;
;
;
;
",,9.78,19.28,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.01,9.5,0,0,0,0
empty_tensor,,,2.49,2.49,0,0,0,0
aten::zero_,"4,8",,14.21,21.31,0,1.88,0,0
aclnnInplaceZero,,,7.1,7.1,1.88,1.88,0,0
aten::empty,";
;
;
;
;
",,13.8,13.8,0,0,0,0
aten::to,"6;
;
;
;
;
",,2.22,61.09,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,4.14,58.87,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,4.21,7.57,0,0,0,0
empty_tensor,,,3.36,3.36,0,0,0,0
aten::copy_,"6;
6;
",,47.16,47.16,0,0,0,0
aten::lift_fresh,6,,1.54,1.54,0,0,0,0
aten::detach_,6,,0.42,0.42,0,0,0,0
aten::select,"4,8;
;
",,14.53,21.66,0,0,0,0
aten::as_strided,"4,8;
;
;
",,7.13,7.13,0,0,0,0
aten::slice,"8;
;
;
;
",,6.21,7.82,0,0,0,0
aten::as_strided,"8;
;
;
",,1.61,1.61,0,0,0,0
aten::copy_,"6;
6;
",,98.52,106.66,0,0.72,0,0
aclnnInplaceCopy,,,8.14,8.14,0.72,0.72,0,0
aten::scalar_tensor,";
;
;
;
",,8.58,34.65,0,1.44,0,0
aten::empty,";
;
;
;
;
",,2.36,7.07,0,0,0,0
empty_tensor,,,4.71,4.71,0,0,0,0
aten::fill_,";
",,12.78,19.0,0,1.44,0,0
aclnnInplaceFillScalar,,,6.22,6.22,1.44,1.44,0,0
aten::select,"4,8;
;
",,4.38,7.51,0,0,0,0
aten::as_strided,"4,8;
;
;
",,3.13,3.13,0,0,0,0
aten::slice,"8;
;
;
;
",,3.27,4.79,0,0,0,0
aten::as_strided,"8;
;
;
",,1.52,1.52,0,0,0,0
aten::view,";
",,2.92,2.92,0,0,0,0
aten::expand,";
;
",,5.95,10.36,0,0,0,0
aten::as_strided,";
;
;
",,4.41,4.41,0,0,0,0
aten::copy_,"6;
6;
",,16.56,26.08,0,4.24,0,0
aclnnInplaceCopy,,,9.52,9.52,4.24,4.24,0,0
aten::empty,";
;
;
;
;
",,6.76,6.76,0,0,0,0
aten::to,"8;
;
;
;
;
",,3.86,81.98,0,0,0,0
aten::_to_copy,"8;
;
;
;
;
;
",,4.34,78.12,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.17,7.38,0,0,0,0
empty_tensor,,,2.21,2.21,0,0,0,0
aten::copy_,"8;
8;
",,66.4,66.4,0,0,0,0
aten::lift_fresh,8,,1.25,1.25,0,0,0,0
aten::detach_,8,,0.39,0.39,0,0,0,0
aten::select,"4,8;
;
",,5.97,8.84,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.87,2.87,0,0,0,0
aten::copy_,"8;
8;
",,37.76,45.51,0,0.6,0,0
aclnnInplaceCopy,,,7.75,7.75,0.6,0.6,0,0
aten::scalar_tensor,";
;
;
;
",,3.76,31.05,0,1.26,0,0
aten::empty,";
;
;
;
;
",,2.09,9.23,0,0,0,0
empty_tensor,,,7.14,7.14,0,0,0,0
aten::fill_,";
",,10.82,18.06,0,1.26,0,0
aclnnInplaceFillScalar,,,7.24,7.24,1.26,1.26,0,0
aten::select,"4,8;
;
",,3.16,5.63,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.47,2.47,0,0,0,0
aten::view,";
",,2.09,2.09,0,0,0,0
aten::expand,";
;
",,2.12,7.17,0,0,0,0
aten::as_strided,";
;
;
",,5.05,5.05,0,0,0,0
aten::copy_,"8;
8;
",,14.25,20.53,0,3.8200000000000003,0,0
aclnnInplaceCopy,,,6.28,6.28,3.8200000000000003,3.8200000000000003,0,0
aten::empty,";
;
;
;
;
",,3.59,3.59,0,0,0,0
aten::to,"6;
;
;
;
;
",,1.84,57.02,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,5.95,55.18,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,4.56,6.79,0,0,0,0
empty_tensor,,,2.23,2.23,0,0,0,0
aten::copy_,"6;
6;
",,42.44,42.44,0,0,0,0
aten::lift_fresh,6,,0.96,0.96,0,0,0,0
aten::detach_,6,,0.53,0.53,0,0,0,0
aten::select,"4,8;
;
",,3.04,8.45,0,0,0,0
aten::as_strided,"4,8;
;
;
",,5.41,5.41,0,0,0,0
aten::slice,"8;
;
;
;
",,2.84,4.3,0,0,0,0
aten::as_strided,"8;
;
;
",,1.46,1.46,0,0,0,0
aten::copy_,"6;
6;
",,33.6,43.7,0,0.72025,0,0
aclnnInplaceCopy,,,10.1,10.1,0.72025,0.72025,0,0
aten::scalar_tensor,";
;
;
;
",,3.21,30.8,0,1.38,0,0
aten::empty,";
;
;
;
;
",,4.37,8.64,0,0,0,0
empty_tensor,,,4.27,4.27,0,0,0,0
aten::fill_,";
",,11.84,18.95,0,1.38,0,0
aclnnInplaceFillScalar,,,7.11,7.11,1.38,1.38,0,0
aten::select,"4,8;
;
",,2.65,5.05,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.4,2.4,0,0,0,0
aten::slice,"8;
;
;
;
",,4.93,6.69,0,0,0,0
aten::as_strided,"8;
;
;
",,1.76,1.76,0,0,0,0
