Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,BroadcastTo_Tiling,100,4,25,18.43,35.41,39.746
host,acl,IndexCheck_Tiling,4966.15,1288,3.856,0.13,115.02,26.39
host,acl,IndexPutV2_Tiling,41.76,4,10.44,9.35,12.71,1.765
host,acl,NonZero_Tiling,4717.04,1664,2.835,0.26,24.15,10.199
host,communication,Notify_Record,13832.59,524,26.398,20.77,105.81,33.494
host,communication,Notify_Wait,7764.78,524,14.818,11.55,58.79,6.793
host,acl,Slice_Tiling,3744.86,512,7.314,1.87,63.67,171.601
host,acl,Transpose_Tiling,344.32,128,2.69,0.3,23.88,8.88
host,acl,aclmdlRICaptureGetInfo,1521.83,5504,0.276,0.12,1.96,0.043
host,acl,aclnnAdd,9571.08,1027,9.319,6.63,40.2,2.483
host,acl,aclnnAdds,8822.53,1028,8.582,5.97,19.43,0.756
host,acl,aclnnAny,198.29,11,18.026,10.15,51.19,140.21
host,acl,aclnnArange,3779.11,390,9.69,7.96,31.97,4.107
host,acl,aclnnBitwiseAndTensor,639.04,68,9.398,7.92,22.86,6.865
host,acl,aclnnBitwiseNot,108.9,9,12.1,8.58,26.93,30.676
host,acl,aclnnCat,7637.23,520,14.687,9.05,45.95,7.263
host,acl,aclnnClampMin,17.82,1,17.82,17.82,17.82,0
host,acl,aclnnConstantPadNd,190.92,12,15.91,12.46,23.93,9.924
host,acl,aclnnCos,46.88,4,11.72,8.61,19.86,22.146
host,acl,aclnnCumsum,38.91,1,38.91,38.91,38.91,0
host,acl,aclnnCumsumGetWorkspaceSize,35.02,1,35.02,35.02,35.02,0
host,acl,aclnnEmbedding,66.64,4,16.66,9.6,25.85,49.516
host,acl,aclnnFlashAttentionScore,4363.59,256,17.045,13.43,55.39,19.935
host,acl,aclnnGeScalar,130.45,8,16.306,9.6,35.84,71.367
host,acl,aclnnIndex,41581.86,1604,25.924,11.09,250.04,953.648
host,acl,aclnnIndexGetWorkspaceSize,8696.22,128,67.939,54.8,196.3,402.204
host,acl,aclnnIndexPutImpl,17604.68,516,34.118,23.61,113.37,56.393
host,acl,aclnnIndexPutImplGetWorkspaceSize,18600.87,516,36.048,24.61,71.49,52.117
host,acl,aclnnInplaceCopy,17594.53,2161,8.142,5.28,71.16,5.513
host,acl,aclnnInplaceCopyGetWorkspaceSize,300.51,21,14.31,5.9,43.95,65.173
host,acl,aclnnInplaceFillScalar,151.43,2,75.715,68.1,83.33,57.988
host,acl,aclnnInplaceMaskedFillScalar,629.05,9,69.894,8.91,439.76,17223.025
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,91.3,5,18.26,15.36,24.12,9.719
host,acl,aclnnInplaceOne,616.54,67,9.202,6.63,33.53,15.884
host,acl,aclnnInplaceZero,122.35,9,13.594,9.12,28.77,39.438
host,acl,aclnnLeScalar,42.01,2,21.005,11.89,30.12,83.083
host,acl,aclnnLogicalNot,2166.24,256,8.462,7.03,37.08,6.928
host,acl,aclnnLtScalar,115.98,9,12.887,9.04,21.46,15.46
host,acl,aclnnLtTensor,1760.54,192,9.169,7.86,34.88,3.714
host,acl,aclnnMatmul,16102.42,1796,8.966,6.51,31.19,1.249
host,acl,aclnnMax,133.95,9,14.883,12.22,23.38,12.404
host,acl,aclnnMaxDim,35.2,1,35.2,35.2,35.2,0
host,acl,aclnnMean,11209.57,1028,10.904,7.99,33.63,2.15
host,acl,aclnnMul,29361.41,3340,8.791,5.78,34.1,4.527
host,acl,aclnnNeg,7184.72,512,14.033,11.22,148.74,40.129
host,acl,aclnnNonzero,72703.45,64,1135.991,99.01,6075.9,719382.426
host,acl,aclnnNonzeroGetWorkspaceSize,2167.55,64,33.868,27.84,97.18,99.431
host,acl,aclnnNonzeroV2,212222.62,768,276.332,59.77,3486.31,265620.23
host,acl,aclnnNonzeroV2GetWorkspaceSize,17564.17,768,22.87,14.62,56.64,53.369
host,acl,aclnnPowTensorScalar,9170.54,1028,8.921,5.8,21.77,1.166
host,acl,aclnnReduceSum,82.12,3,27.373,14.01,51.48,291.71
host,acl,aclnnRsqrt,7952.55,1028,7.736,5.31,27.39,1.11
host,acl,aclnnSWhere,38.67,3,12.89,9.44,18.41,15.553
host,acl,aclnnSilu,2171.6,256,8.483,6.05,27.95,2.729
host,acl,aclnnSin,44.25,4,11.063,8.16,18.29,17.528
host,acl,aclnnSubs,70.86,5,14.172,9.6,21.24,17.975
host,acl,aclnnTril,504.41,64,7.881,6.11,12.27,0.542
host,acl,aclrtCreateEventExWithFlag,2670.63,1304,2.048,0.57,31.17,5.866
host,acl,aclrtCtxSetSysParamOpt,16407.54,36150,0.454,0.17,25.19,0.1
host,acl,aclrtDestroyEvent,2718.26,1912,1.422,0.47,44.06,2.414
host,acl,aclrtFree,36,4,9,7.36,11.25,2.15
host,acl,aclrtGetCurrentContext,267.5,524,0.51,0.31,2.04,0.01
host,acl,aclrtGetDeviceCount,5.1,2,2.55,1.01,4.09,2.372
host,acl,aclrtGetHardwareSyncAddr,981.26,2151,0.456,0.24,2.33,0.025
host,acl,aclrtGetResInCurrentThread,1014.28,3006,0.337,0.1,15.05,0.136
host,acl,aclrtGetStreamAttribute,5453.47,19123,0.285,0.16,24.61,0.034
host,acl,aclrtLaunchKernelWithHostArgs,128935.23,24109,5.348,2.08,427.13,10.082
host,acl,aclrtMallocWithCfg,100.06,4,25.015,22.87,28.01,3.483
host,acl,aclrtMemcpy,16822.29,857,19.629,14.15,101.36,32.69
host,acl,aclrtMemcpyAsync,207.69,21,9.89,5.1,39.07,53.33
host,acl,aclrtQueryEventStatus,661.81,1132,0.585,0.29,3.61,0.041
host,acl,aclrtRecordEvent,11750.98,1828,6.428,2.85,38.97,6.583
host,acl,aclrtRecordNotify,5205.35,1048,4.967,3.49,27.43,2.05
host,acl,aclrtStreamGetId,396.41,1048,0.378,0.19,1.58,0.017
host,acl,aclrtStreamWaitEvent,6777.43,1304,5.197,3.29,48.08,2.506
host,acl,aclrtSynchronizeDeviceWithTimeout,1476.76,6,246.127,19.81,504.83,31598.669
host,acl,aclrtSynchronizeStream,233281.5,833,280.05,6.84,5992.89,344696.131
host,acl,aclrtSynchronizeStreamWithTimeout,7478.43,856,8.736,1.6,2564.91,14462.672
host,acl,aclrtWaitAndResetNotify,5645.58,1572,3.591,1.06,10.18,3.177
host,acl,hcom_allGather_,611.67,4,152.918,147.21,168.95,85.786
host,acl,hcom_allReduce_,80689.89,516,156.376,118.06,484.87,963.161
host,acl,hcom_broadcast_,994.63,4,248.658,169.48,426.95,11062.594
host,node,launch,497986.35,24633,20.216,2.55,6033.4,15233.763
