Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
5,N/A,PROFILING_ENABLE,48,5,0.000,1789112095151965.624	,1789112095151965.624	
5,Fill_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,35522,2.020,1789112095161098.367	,1789112095161100.387	
5,ZerosLike_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,35523,1.620,1789112095161140.848	,1789112095161142.468	
5,N/A,MEMCPY_ASYNC,47,35524,0.920,1789112095161674.338	,1789112095161675.258	
5,Fill_279daeaf6b659300647aba3935d90048_high_performance_210000000,AI_VECTOR_CORE,47,35525,1.440,1789112095161777.680	,1789112095161779.120	
5,Cast_a9b7af94359fc7c19da07ad0790f065c_high_performance_210000000,AI_VECTOR_CORE,47,35526,1.320,1789112095161838.442	,1789112095161839.762	
5,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,47,35527,1.540,1789112095161841.342	,1789112095161842.882	
5,Cast_9fc020fd54590bb5fe6cf6eabcf7b473_high_performance_210000000,AI_VECTOR_CORE,47,35528,1.420,1789112095161864.902	,1789112095161866.322	
5,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,35529,1.360,1789112095162143.048	,1789112095162144.408	
5,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,35530,2.920,1789112095162213.029	,1789112095162215.949	
5,LessEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,AI_VECTOR_CORE,47,35531,2.780,1789112095162242.570	,1789112095162245.350	
5,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_1000500,MIX_AIV,47,35532,1.600,1789112095162287.391	,1789112095162288.991	
5,Range_a32d70ed63082227463347a44bd5a08e_high_performance__kernel0,AI_VECTOR_CORE,47,35533,9.400,1789112095162456.574	,1789112095162465.974	
5,LogicalNot_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,35534,1.400,1789112095162533.915	,1789112095162535.316	
5,N/A,MEMCPY_ASYNC,47,35535,0.700,1789112095162628.097	,1789112095162628.797	
5,MaskedFill,AI_CPU,47,35536,94.521,1789112095162737.400	,1789112095162831.921	
5,ArgMaxWithValue_65b8831ee054f9f32f9460360bd29bf1_high_performance_5,AI_VECTOR_CORE,47,35537,2.340,1789112095162831.941	,1789112095162834.281	
5,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,AI_VECTOR_CORE,47,35538,1.360,1789112095162834.301	,1789112095162835.662	
5,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,AI_VECTOR_CORE,47,35539,3.360,1789112095162835.682	,1789112095162839.042	
5,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_1000500,MIX_AIV,47,35540,1.360,1789112095162839.922	,1789112095162841.282	
5,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,35541,1.220,1789112095162961.544	,1789112095162962.764	
5,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,35542,2.340,1789112095162982.564	,1789112095162984.905	
5,ReduceMax_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_1000500,MIX_AIV,47,35543,1.760,1789112095163013.805	,1789112095163015.565	
5,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,35544,1.240,1789112095163321.791	,1789112095163323.031	
5,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,35545,2.140,1789112095163349.172	,1789112095163351.312	
5,LessEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_210000000,AI_VECTOR_CORE,47,35546,2.280,1789112095163366.592	,1789112095163368.872	
5,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_1000500,MIX_AIV,47,35547,1.300,1789112095163396.573	,1789112095163397.873	
5,ReduceMax_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_1000500,MIX_AIV,47,35548,1.440,1789112095163481.034	,1789112095163482.474	
5,Range_a32d70ed63082227463347a44bd5a08e_high_performance__kernel0,AI_VECTOR_CORE,47,35549,4.440,1789112095163569.676	,1789112095163574.116	
5,ZerosLike_1d2fd313763487259859439d7e9b41cf_high_performance_210000000,AI_VECTOR_CORE,47,35550,1.420,1789112095163610.397	,1789112095163611.817	
5,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,35551,1.220,1789112095163652.698	,1789112095163653.918	
5,Cumsum,AI_CPU,47,35552,69.681,1789112095163757.320	,1789112095163827.001	
5,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,35553,3.020,1789112095163827.021	,1789112095163830.041	
5,ClipByValueV2_a32d70ed63082227463347a44bd5a08e_high_performance_220000000,AI_VECTOR_CORE,47,35554,5.260,1789112095163832.801	,1789112095163838.062	
5,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,35555,2.800,1789112095163874.582	,1789112095163877.382	
5,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_50000400,MIX_AIV,47,35556,3.420,1789112095163906.263	,1789112095163909.683	
5,GreaterEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,35557,3.100,1789112095164014.065	,1789112095164017.165	
5,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_50000400,MIX_AIV,47,35558,2.480,1789112095164018.305	,1789112095164020.785	
5,GreaterEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,35559,2.460,1789112095164115.327	,1789112095164117.787	
5,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,35560,2.280,1789112095164118.887	,1789112095164121.167	
5,LogicalAnd_91d2a3cdd75d915a368582ec5f440af1_high_performance_210000000,AI_VECTOR_CORE,47,35561,1.580,1789112095164175.388	,1789112095164176.968	
5,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,35562,2.380,1789112095164201.849	,1789112095164204.229	
5,LogicalNot_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,35563,1.260,1789112095164214.729	,1789112095164215.989	
5,N/A,MEMCPY_ASYNC,47,35564,0.780,1789112095164277.350	,1789112095164278.130	
