Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,IndexCheck_Tiling,4301.36,1288,3.34,0.13,30.58,12.514
host,acl,IndexPutV2_Tiling,88.92,4,22.23,11.68,53.71,330.331
host,acl,NonZero_Tiling,3842.05,1664,2.309,0.18,35.64,5.262
host,communication,Notify_Record,15741.37,557,28.261,19.4,225.39,91.659
host,communication,Notify_Wait,9892.98,557,17.761,14.35,69.99,14.866
host,acl,Slice_Tiling,2635.82,512,5.148,1.89,131.11,72.943
host,acl,aclmdlRICaptureGetInfo,1770.6,5850,0.303,0.13,26.26,0.165
host,acl,aclnnAdd,10319.18,1027,10.048,5.97,72.09,8.133
host,acl,aclnnAdds,9002.01,1028,8.757,5.54,33.59,4.956
host,acl,aclnnAny,225.6,19,11.874,7.63,22.78,11.237
host,acl,aclnnArange,4023.22,386,10.423,7.35,37.89,7.633
host,acl,aclnnBitwiseAndTensor,1570.4,68,23.094,9.03,80,57.805
host,acl,aclnnBitwiseNot,85.8,9,9.533,7.71,13.64,2.766
host,acl,aclnnCat,8025.51,520,15.434,9.85,51.01,9.945
host,acl,aclnnClampMin,12.23,1,12.23,12.23,12.23,0
host,acl,aclnnConstantPadNd,572.32,36,15.898,11.81,42.34,29.574
host,acl,aclnnCos,41.81,4,10.453,9.16,12.11,1.251
host,acl,aclnnCumsum,21.67,1,21.67,21.67,21.67,0
host,acl,aclnnCumsumGetWorkspaceSize,29.08,1,29.08,29.08,29.08,0
host,acl,aclnnEmbedding,45.75,4,11.438,9.51,13.64,2.152
host,acl,aclnnFlashAttentionScore,4509.48,256,17.615,13.3,83.84,25.491
host,acl,aclnnGeScalar,161.14,12,13.428,8.89,24.76,20.471
host,acl,aclnnIndex,40412.64,1609,25.117,9.16,255.33,689.958
host,acl,aclnnIndexGetWorkspaceSize,6920.36,128,54.065,44.29,146,128.159
host,acl,aclnnIndexPutImpl,18962.16,516,36.748,23.63,121.15,98.458
host,acl,aclnnIndexPutImplGetWorkspaceSize,17166.52,516,33.268,24.1,86.16,40.865
host,acl,aclnnInplaceCopy,18659.19,2190,8.52,4.79,58.61,6.688
host,acl,aclnnInplaceCopyGetWorkspaceSize,444.7,47,9.462,4.88,39.4,34.338
host,acl,aclnnInplaceFillScalar,77.8,5,15.56,8.01,41.79,173.092
host,acl,aclnnInplaceMaskedFillScalar,164.68,9,18.298,9.97,35.08,58.97
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,88.99,5,17.798,11.67,29.58,37.935
host,acl,aclnnInplaceOne,677.61,68,9.965,6.91,58.06,43.381
host,acl,aclnnInplaceZero,342.08,25,13.683,2.66,29.47,41.452
host,acl,aclnnLeScalar,19.84,2,9.92,8.39,11.45,2.341
host,acl,aclnnLogicalNot,2287.75,256,8.937,5.75,47.68,9.472
host,acl,aclnnLtScalar,147.24,13,11.326,8.32,21.19,9.957
host,acl,aclnnLtTensor,1962.88,192,10.223,8.26,15.97,1.494
host,acl,aclnnMatmul,17465.1,1796,9.724,6.4,47.82,3.226
host,acl,aclnnMax,128.92,9,14.324,8.3,18.86,10.782
host,acl,aclnnMaxDim,20.78,1,20.78,20.78,20.78,0
host,acl,aclnnMean,11768.43,1028,11.448,7.74,30.85,2.677
host,acl,aclnnMul,29067.51,3340,8.703,5.31,76.22,7.452
host,acl,aclnnNeg,7375.46,512,14.405,11.51,56.59,6.654
host,acl,aclnnNonzero,107707.52,64,1682.93,133.12,7615.57,1283482.128
host,acl,aclnnNonzeroGetWorkspaceSize,1881.6,64,29.4,23.58,58.3,22.084
host,acl,aclnnNonzeroV2,244464.08,768,318.313,62.89,7036.55,279435.261
host,acl,aclnnNonzeroV2GetWorkspaceSize,16328.03,768,21.26,13.74,76.99,42.214
host,acl,aclnnPowTensorScalar,9580.19,1028,9.319,5.98,41.57,3.507
host,acl,aclnnReduceSum,31.26,2,15.63,10.53,20.73,26.01
host,acl,aclnnRsqrt,7507.62,1028,7.303,4.88,28.71,2.591
host,acl,aclnnSWhere,42.39,3,14.13,13.24,14.95,0.49
host,acl,aclnnSilu,2306.06,256,9.008,5.81,43.09,9.04
host,acl,aclnnSin,39.7,4,9.925,8.56,11.25,1.41
host,acl,aclnnSubs,54.03,5,10.806,9.63,11.98,0.825
host,acl,aclnnTril,547.21,64,8.55,6.59,27.02,5.889
host,acl,aclnnUnique2,971.79,4,242.948,210.44,287.85,1088.308
host,acl,aclnnUnique2GetWorkspaceSize,86.62,4,21.655,19.36,25.52,6.091
host,acl,aclrtCreateEventExWithFlag,3177.34,1370,2.319,0.62,79.38,7.607
host,acl,aclrtCtxSetSysParamOpt,19347.76,36336,0.532,0.17,36.33,0.248
host,acl,aclrtDestroyEvent,3059.21,1918,1.595,0.51,28.06,3.777
host,acl,aclrtFree,108.69,20,5.435,3.29,13.34,4.81
host,acl,aclrtGetCurrentContext,274.51,557,0.493,0.31,1.65,0.011
host,acl,aclrtGetDeviceCount,4.28,2,2.14,2.08,2.2,0.004
host,acl,aclrtGetHardwareSyncAddr,1073.38,2182,0.492,0.25,2.67,0.045
host,acl,aclrtGetResInCurrentThread,1174.82,3066,0.383,0.11,4.47,0.098
host,acl,aclrtGetStreamAttribute,5294.22,19282,0.275,0.18,28.41,0.053
host,acl,aclrtLaunchKernelWithHostArgs,129157.99,24236,5.329,2.05,54.23,3.777
host,acl,aclrtMallocWithCfg,239.28,20,11.964,6.27,33.26,57.405
host,acl,aclrtMemcpy,19505.18,951,20.51,13.53,343.09,148.876
host,acl,aclrtMemcpyAsync,444.86,51,8.723,3.59,27.82,34.533
host,acl,aclrtQueryEventStatus,702.7,1105,0.636,0.28,4.33,0.076
host,acl,aclrtRecordEvent,13444.63,1927,6.977,2.99,28.48,5.847
host,acl,aclrtRecordNotify,6146.27,1114,5.517,3.8,34.34,4.103
host,acl,aclrtStreamGetId,406.94,1114,0.365,0.19,1.57,0.014
host,acl,aclrtStreamWaitEvent,7757.36,1370,5.662,4.28,39.19,2.935
host,acl,aclrtSynchronizeDeviceWithTimeout,16318.03,6,2719.672,32.64,14456.04,27791823.869
host,acl,aclrtSynchronizeStream,301309.18,891,338.17,1.73,7537.8,454092.95
host,acl,aclrtSynchronizeStreamWithTimeout,13636.34,896,15.219,1.06,2343.21,17781.556
host,acl,aclrtWaitAndResetNotify,6173.2,1671,3.694,1.09,33.4,3.922
host,acl,hcom_allGather_,1097.42,4,274.355,162.73,581.47,31484.185
host,acl,hcom_allReduce_,84063.07,533,157.717,114.53,680,1293.321
host,acl,hcom_broadcast_,3443.74,20,172.187,129.91,383.94,2930.155
host,node,launch,570665.65,24793,23.017,2.5,7573.45,21281.922
