Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,NOTIFY_WAIT_SQE,90,58333,55.961,1789112789479341.318	,1789112789479397.279	
1,N/A,NOTIFY_RECORD_SQE,50,3092,0.020,1789112789479341.538	,1789112789479341.558	
1,N/A,NOTIFY_WAIT_SQE,90,58334,0.020,1789112789479397.379	,1789112789479397.399	
1,N/A,SDMA_SQE,90,58335,0.680,1789112789479397.419	,1789112789479398.099	
1,N/A,NOTIFY_RECORD_SQE,90,58336,0.020,1789112789479398.119	,1789112789479398.139	
1,N/A,EVENT_RECORD,45,24542,0.020,1789112789479399.119	,1789112789479399.139	
1,N/A,EVENT_RECORD,45,24543,0.020,1789112789479399.159	,1789112789479399.179	
1,ZerosLike_1d2fd313763487259859439d7e9b41cf_high_performance_210000000,AI_VECTOR_CORE,47,5808,1.360,1789112789480297.337	,1789112789480298.697	
1,N/A,EVENT_RECORD,47,5809,0.020,1789112789480340.317	,1789112789480340.337	
1,N/A,EVENT_WAIT,45,24544,0.020,1789112789480344.478	,1789112789480344.498	
1,N/A,NOTIFY_RECORD,45,24545,0.100,1789112789480446.300	,1789112789480446.400	
1,N/A,NOTIFY_WAIT,12,35622,25.100,1789112789480457.760	,1789112789480482.860	
1,N/A,NOTIFY_WAIT,45,24546,152.563,1789112789480479.420	,1789112789480631.983	
1,N/A,NOTIFY_RECORD,10,35622,0.080,1789112789480481.800	,1789112789480481.880	
1,RunAicpuRpcSrvLaunchV2_broadcast,AI_CPU,12,35623,292.385,1789112789480485.460	,1789112789480777.846	
1,N/A,NOTIFY_WAIT,10,35623,45.280,1789112789480485.860	,1789112789480531.141	
1,N/A,NOTIFY_RECORD_SQE,91,17811,0.020,1789112789480530.121	,1789112789480530.141	
1,N/A,EVENT_WAIT,47,5810,84.121,1789112789480548.922	,1789112789480633.043	
1,N/A,NOTIFY_WAIT_SQE,90,58337,0.020,1789112789480610.223	,1789112789480610.243	
1,N/A,SDMA_SQE,90,58338,0.680,1789112789480610.263	,1789112789480610.943	
1,N/A,WRITE_VALUE_SQE,90,58339,0.340,1789112789480610.963	,1789112789480611.303	
1,N/A,NOTIFY_WAIT_SQE,90,58340,11.600,1789112789480611.323	,1789112789480622.923	
1,N/A,NOTIFY_WAIT_SQE,50,3093,15.300,1789112789480611.763	,1789112789480627.063	
1,N/A,WRITE_VALUE_SQE,90,58341,1.000,1789112789480623.003	,1789112789480624.003	
1,N/A,NOTIFY_WAIT_SQE,90,58342,2.460,1789112789480624.023	,1789112789480626.483	
1,N/A,NOTIFY_RECORD_SQE,90,58343,0.020,1789112789480626.583	,1789112789480626.603	
1,N/A,WRITE_VALUE_SQE,90,58344,0.920,1789112789480626.623	,1789112789480627.543	
1,N/A,SDMA_SQE,50,3094,0.560,1789112789480627.083	,1789112789480627.643	
1,N/A,NOTIFY_WAIT_SQE,90,58345,2.560,1789112789480627.563	,1789112789480630.123	
1,N/A,NOTIFY_RECORD_SQE,50,3095,0.020,1789112789480627.663	,1789112789480627.683	
1,N/A,NOTIFY_WAIT_SQE,90,58346,0.020,1789112789480630.143	,1789112789480630.163	
1,N/A,SDMA_SQE,90,58347,0.680,1789112789480630.223	,1789112789480630.903	
1,N/A,NOTIFY_RECORD_SQE,90,58348,0.020,1789112789480630.923	,1789112789480630.943	
1,N/A,EVENT_RECORD,45,24547,0.020,1789112789480632.003	,1789112789480632.023	
1,N/A,EVENT_RECORD,45,24548,0.020,1789112789480632.043	,1789112789480632.063	
1,N/A,EVENT_WAIT,45,24549,5.940,1789112789480855.568	,1789112789480861.508	
1,N/A,EVENT_RECORD,47,5811,0.020,1789112789480860.648	,1789112789480860.668	
1,N/A,NOTIFY_RECORD,45,24550,0.080,1789112789480941.810	,1789112789480941.890	
1,N/A,NOTIFY_WAIT,12,35624,12.240,1789112789480950.990	,1789112789480963.230	
1,N/A,NOTIFY_RECORD,10,35624,0.100,1789112789480962.110	,1789112789480962.210	
1,RunAicpuRpcSrvLaunchV2_allreduce,AI_CPU,12,35625,295.246,1789112789480964.270	,1789112789481259.516	
1,N/A,NOTIFY_WAIT,10,35625,33.820,1789112789480965.530	,1789112789480999.351	
1,N/A,NOTIFY_WAIT,45,24551,426.348,1789112789480976.790	,1789112789481403.139	
1,N/A,NOTIFY_RECORD_SQE,91,17812,0.000,1789112789480998.311	,1789112789480998.311	
1,N/A,EVENT_WAIT,47,5812,380.227,1789112789481024.031	,1789112789481404.259	
1,N/A,NOTIFY_WAIT_SQE,90,58349,0.020,1789112789481058.692	,1789112789481058.712	
1,N/A,SDMA_SQE,90,58350,0.680,1789112789481058.732	,1789112789481059.412	
1,N/A,SDMA_SQE,90,58351,0.580,1789112789481059.432	,1789112789481060.012	
1,N/A,WRITE_VALUE_SQE,90,58352,0.340,1789112789481060.032	,1789112789481060.372	
1,N/A,NOTIFY_WAIT_SQE,90,58353,207.064,1789112789481060.392	,1789112789481267.456	
1,N/A,SDMA_SQE,90,58354,0.700,1789112789481267.476	,1789112789481268.176	
1,N/A,WRITE_VALUE_SQE,90,58355,0.340,1789112789481268.196	,1789112789481268.536	
1,N/A,NOTIFY_WAIT_SQE,90,58356,0.020,1789112789481268.556	,1789112789481268.576	
1,N/A,SDMA_SQE,90,58357,0.540,1789112789481268.596	,1789112789481269.136	
1,N/A,WRITE_VALUE_SQE,90,58358,0.980,1789112789481269.156	,1789112789481270.136	
1,N/A,NOTIFY_WAIT_SQE,90,58359,0.000,1789112789481270.176	,1789112789481270.176	
1,N/A,SDMA_SQE,90,58360,1.140,1789112789481270.216	,1789112789481271.356	
1,N/A,WRITE_VALUE_SQE,90,58361,0.980,1789112789481271.396	,1789112789481272.376	
1,N/A,NOTIFY_WAIT_SQE,90,58362,0.020,1789112789481272.396	,1789112789481272.416	
1,N/A,SDMA_SQE,90,58363,0.600,1789112789481272.436	,1789112789481273.036	
1,N/A,WRITE_VALUE_SQE,90,58364,0.920,1789112789481273.056	,1789112789481273.976	
1,N/A,NOTIFY_WAIT_SQE,90,58365,125.342,1789112789481273.996	,1789112789481399.339	
1,N/A,SDMA_SQE,90,58366,1.160,1789112789481399.359	,1789112789481400.519	
1,N/A,WRITE_VALUE_SQE,90,58367,0.940,1789112789481400.539	,1789112789481401.479	
1,N/A,NOTIFY_WAIT_SQE,90,58368,0.020,1789112789481401.499	,1789112789481401.519	
1,N/A,SDMA_SQE,90,58369,0.680,1789112789481401.539	,1789112789481402.219	
1,N/A,NOTIFY_RECORD_SQE,90,58370,0.000,1789112789481402.259	,1789112789481402.259	
1,N/A,EVENT_RECORD,45,24552,0.020,1789112789481403.159	,1789112789481403.179	
1,N/A,EVENT_RECORD,45,24553,0.020,1789112789481403.199	,1789112789481403.219	
1,N/A,EVENT_WAIT,45,24554,8.240,1789112789481697.385	,1789112789481705.625	
1,N/A,EVENT_RECORD,47,5813,0.020,1789112789481704.605	,1789112789481704.625	
1,N/A,NOTIFY_RECORD,45,24555,0.100,1789112789481760.966	,1789112789481761.066	
1,N/A,NOTIFY_WAIT,12,35626,8.720,1789112789481776.946	,1789112789481785.666	
1,N/A,NOTIFY_RECORD,10,35626,0.100,1789112789481784.586	,1789112789481784.686	
1,N/A,NOTIFY_WAIT,10,35627,52.701,1789112789481787.146	,1789112789481839.847	
1,N/A,NOTIFY_WAIT,45,24556,132.302,1789112789481794.187	,1789112789481926.489	
1,RunAicpuRpcSrvLaunchV2_allreduce,AI_CPU,12,35627,296.806,1789112789481800.407	,1789112789482097.213	
1,N/A,NOTIFY_RECORD_SQE,91,17813,0.020,1789112789481838.807	,1789112789481838.827	
1,N/A,EVENT_WAIT,47,5814,84.461,1789112789481843.148	,1789112789481927.609	
1,N/A,NOTIFY_WAIT_SQE,90,58371,0.020,1789112789481892.188	,1789112789481892.208	
1,N/A,SDMA_SQE,90,58372,0.680,1789112789481892.228	,1789112789481892.909	
1,N/A,SDMA_SQE,90,58373,0.580,1789112789481892.949	,1789112789481893.529	
1,N/A,WRITE_VALUE_SQE,90,58374,0.320,1789112789481893.569	,1789112789481893.889	
1,N/A,NOTIFY_WAIT_SQE,90,58375,0.020,1789112789481893.909	,1789112789481893.929	
1,N/A,SDMA_SQE,90,58376,0.680,1789112789481893.949	,1789112789481894.629	
1,N/A,WRITE_VALUE_SQE,90,58377,0.340,1789112789481894.649	,1789112789481894.989	
1,N/A,NOTIFY_WAIT_SQE,90,58378,0.720,1789112789481895.009	,1789112789481895.729	
1,N/A,SDMA_SQE,90,58379,0.540,1789112789481895.809	,1789112789481896.349	
