Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,24.53,122.58,0,2.46025,0,0
empty_tensor,,,22.56,22.56,0,0,0,0
aten::fill_,"1,544;
",,58.83,75.49,0,2.46025,0,0
aclnnInplaceFillScalar,,,16.66,16.66,2.46025,2.46025,0,0
aten::zeros_like,"1,544;
;
;
;
;
",,12.5,59.64,0,1.64,0,0
aten::empty_like,"1,544;
;
;
;
;
",,13.28,26.34,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,9.92,13.06,0,0,0,0
empty_tensor,,,3.14,3.14,0,0,0,0
aten::zero_,"1,544",,16.8,20.8,0,1.64,0,0
aclnnInplaceZero,,,4.0,4.0,1.64,1.64,0,0
aten::empty,";
;
;
;
;
",,9.02,9.02,0,0,0,0
aten::to,"544;
;
;
;
;
",,5.58,126.25,0,0,0,0
aten::_to_copy,"544;
;
;
;
;
;
",,9.49,120.67,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.53,10.04,0,0,0,0
empty_tensor,,,2.51,2.51,0,0,0,0
aten::copy_,"544;
544;
",,101.14,101.14,0,0,0,0
aten::lift_fresh,544,,8.16,8.16,0,0,0,0
aten::detach_,544,,1.32,1.32,0,0,0,0
aten::select,"1,544;
;
",,10.65,18.56,0,0,0,0
aten::as_strided,"1,544;
;
;
",,7.91,7.91,0,0,0,0
aten::copy_,"544;
544;
",,78.28,91.11,0,0.66,0,0
aclnnInplaceCopy,,,12.83,12.83,0.66,0.66,0,0
aten::scalar_tensor,";
;
;
;
",,9.72,44.06,0,1.32025,0,0
aten::empty,";
;
;
;
;
",,3.33,10.06,0,0,0,0
empty_tensor,,,6.73,6.73,0,0,0,0
aten::fill_,";
",,15.38,24.28,0,1.32025,0,0
aclnnInplaceFillScalar,,,8.9,8.9,1.32025,1.32025,0,0
aten::select,"1,544;
;
",,3.96,7.26,0,0,0,0
