Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,ReduceMax_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_50000400,MIX_AIV,47,2342,2.460,1789112609272761.147	,1789112609272763.607	
2,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,2343,1.220,1789112609273042.132	,1789112609273043.352	
2,ReduceSum_0d745295987e1c668b2ec8b2844aeada_high_performance_50000400,MIX_AIV,47,2344,2.640,1789112609273073.693	,1789112609273076.333	
2,LessEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,2345,2.480,1789112609273104.874	,1789112609273107.354	
2,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_50000400,MIX_AIV,47,2346,2.140,1789112609273114.814	,1789112609273116.954	
2,ReduceMax_50ece6b17b86ccdf70cfb9e03e3196c5_high_performance_50000400,MIX_AIV,47,2347,1.880,1789112609273193.495	,1789112609273195.375	
2,Range_a32d70ed63082227463347a44bd5a08e_high_performance__kernel0,AI_VECTOR_CORE,47,2348,4.500,1789112609273270.497	,1789112609273274.997	
2,ZerosLike_1d2fd313763487259859439d7e9b41cf_high_performance_210000000,AI_VECTOR_CORE,47,2349,1.320,1789112609273310.698	,1789112609273312.018	
2,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,AI_VECTOR_CORE,47,2350,1.180,1789112609273346.378	,1789112609273347.559	
2,Cumsum,AI_CPU,47,2351,73.881,1789112609273452.181	,1789112609273526.062	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,2352,3.000,1789112609273526.082	,1789112609273529.082	
2,ClipByValueV2_a32d70ed63082227463347a44bd5a08e_high_performance_220000000,AI_VECTOR_CORE,47,2353,5.400,1789112609273529.802	,1789112609273535.202	
2,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,2354,2.340,1789112609273547.443	,1789112609273549.783	
2,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_50000400,MIX_AIV,47,2355,2.080,1789112609273568.123	,1789112609273570.203	
2,GreaterEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,2356,3.140,1789112609273670.125	,1789112609273673.265	
2,ReduceAny_4f12aca806ed482b082e86983ec4bb6f_high_performance_50000400,MIX_AIV,47,2357,2.120,1789112609273674.145	,1789112609273676.265	
2,GreaterEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,2358,2.360,1789112609273749.507	,1789112609273751.867	
2,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,AI_VECTOR_CORE,47,2359,2.400,1789112609273775.387	,1789112609273777.787	
2,LogicalAnd_91d2a3cdd75d915a368582ec5f440af1_high_performance_210000000,AI_VECTOR_CORE,47,2360,1.620,1789112609273826.628	,1789112609273828.248	
2,Sub_41dadce325b0f810d03359af2a38990b_high_performance_223000000,AI_VECTOR_CORE,47,2361,2.200,1789112609273843.068	,1789112609273845.268	
2,LogicalNot_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,2362,1.220,1789112609273873.789	,1789112609273875.009	
2,N/A,MEMCPY_ASYNC,47,2363,0.560,1789112609273926.030	,1789112609273926.590	
2,MaskedFill,AI_CPU,47,2364,58.681,1789112609273957.851	,1789112609274016.532	
2,GatherV2_7869a97190b9b4d296d9414a005b954b_high_precision_900015010,AI_VECTOR_CORE,47,2365,8.620,1789112609274016.552	,1789112609274025.172	
2,LogicalNot_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,AI_VECTOR_CORE,47,2366,1.260,1789112609274040.332	,1789112609274041.592	
2,N/A,MEMCPY_ASYNC,47,2367,1.220,1789112609274096.713	,1789112609274097.934	
2,MaskedFill_56fa5818fd7054b95187cc25e525baa3_high_performance_299900007,AI_VECTOR_CORE,47,2368,11.560,1789112609274124.854	,1789112609274136.414	
2,N/A,EVENT_WAIT,45,19344,0.980,1789112609274245.696	,1789112609274246.676	
2,N/A,EVENT_RECORD,47,2369,0.020,1789112609274245.776	,1789112609274245.796	
2,N/A,NOTIFY_RECORD,45,19345,0.080,1789112609274482.421	,1789112609274482.501	
2,N/A,NOTIFY_RECORD,10,33542,0.100,1789112609274572.843	,1789112609274572.943	
2,N/A,NOTIFY_WAIT,10,33543,54.621,1789112609274574.883	,1789112609274629.504	
2,N/A,NOTIFY_WAIT,12,33542,0.020,1789112609274587.943	,1789112609274587.963	
2,RunAicpuRpcSrvLaunchV2_allreduce,AI_CPU,12,33543,528.570,1789112609274590.183	,1789112609275118.754	
2,N/A,NOTIFY_WAIT,45,19346,967.979,1789112609274619.124	,1789112609275587.103	
2,N/A,NOTIFY_RECORD_SQE,91,16771,0.020,1789112609274628.584	,1789112609274628.604	
2,N/A,EVENT_WAIT,47,2370,862.717,1789112609274725.346	,1789112609275588.063	
2,N/A,NOTIFY_WAIT_SQE,90,39996,0.020,1789112609274872.169	,1789112609274872.189	
2,N/A,SDMA_SQE,90,39997,0.700,1789112609274872.269	,1789112609274872.969	
2,N/A,SDMA_SQE,90,39998,1.100,1789112609274872.989	,1789112609274874.089	
2,N/A,WRITE_VALUE_SQE,90,39999,0.340,1789112609274874.109	,1789112609274874.449	
2,N/A,NOTIFY_WAIT_SQE,90,40000,0.020,1789112609274874.469	,1789112609274874.489	
2,N/A,SDMA_SQE,90,40001,2.620,1789112609274874.509	,1789112609274877.129	
2,N/A,WRITE_VALUE_SQE,90,40002,0.340,1789112609274877.149	,1789112609274877.489	
2,N/A,NOTIFY_WAIT_SQE,90,40003,0.760,1789112609274877.509	,1789112609274878.269	
2,N/A,SDMA_SQE,90,40004,1.000,1789112609274878.289	,1789112609274879.289	
2,N/A,WRITE_VALUE_SQE,90,40005,0.980,1789112609274879.309	,1789112609274880.289	
2,N/A,NOTIFY_WAIT_SQE,90,40006,693.814,1789112609274880.329	,1789112609275574.143	
2,N/A,SDMA_SQE,90,40007,3.540,1789112609275574.243	,1789112609275577.783	
2,N/A,WRITE_VALUE_SQE,90,40008,1.000,1789112609275577.803	,1789112609275578.803	
2,N/A,NOTIFY_WAIT_SQE,90,40009,0.020,1789112609275578.823	,1789112609275578.843	
2,N/A,SDMA_SQE,90,40010,1.080,1789112609275578.863	,1789112609275579.943	
2,N/A,WRITE_VALUE_SQE,90,40011,0.920,1789112609275579.963	,1789112609275580.883	
2,N/A,NOTIFY_WAIT_SQE,90,40012,0.000,1789112609275580.923	,1789112609275580.923	
2,N/A,SDMA_SQE,90,40013,3.580,1789112609275580.963	,1789112609275584.543	
2,N/A,WRITE_VALUE_SQE,90,40014,0.920,1789112609275584.563	,1789112609275585.483	
2,N/A,NOTIFY_WAIT_SQE,90,40015,0.020,1789112609275585.503	,1789112609275585.523	
2,N/A,SDMA_SQE,90,40016,0.680,1789112609275585.543	,1789112609275586.223	
2,N/A,NOTIFY_RECORD_SQE,90,40017,0.020,1789112609275586.243	,1789112609275586.263	
2,N/A,EVENT_RECORD,45,19347,0.020,1789112609275587.123	,1789112609275587.143	
2,N/A,EVENT_RECORD,45,19348,0.020,1789112609275587.163	,1789112609275587.183	
2,Cast_5d7a6db974148d68ac34e2b880c60222_high_performance_210000000,AI_VECTOR_CORE,47,2371,1.680,1789112609275588.123	,1789112609275589.803	
2,Mul_ee98c6628030785f610b924ab1557b31_high_performance_299900007,AI_VECTOR_CORE,47,2372,9.880,1789112609275589.823	,1789112609275599.704	
2,ConcatD_233851a3505389e43928a8bba133a74d_high_performance_0,AI_VECTOR_CORE,47,2373,4.340,1789112609275599.724	,1789112609275604.064	
2,Cos_5c5e58e043224cccf51a06108010ae13_high_performance_210000000,AI_VECTOR_CORE,47,2374,3.240,1789112609275604.084	,1789112609275607.324	
2,Sin_5c5e58e043224cccf51a06108010ae13_high_performance_210000000,AI_VECTOR_CORE,47,2375,2.980,1789112609275607.344	,1789112609275610.324	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,47,2376,1.600,1789112609275610.344	,1789112609275611.944	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,47,2377,1.740,1789112609275611.964	,1789112609275613.704	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,47,2378,8.260,1789112609275613.724	,1789112609275621.984	
2,Pows_87754663653454355677y73521552341_high_performance_301,AI_VECTOR_CORE,47,2379,13.140,1789112609275622.004	,1789112609275635.144	
2,ReduceMean_483c206567cda955ff1cdfd62744bc74_high_precision_50000400,MIX_AIV,47,2380,11.960,1789112609275636.184	,1789112609275648.144	
2,Add_ee98c6628030785f610b924ab1557b31_high_performance_223000000,AI_VECTOR_CORE,47,2381,1.580,1789112609275648.884	,1789112609275650.465	
2,Rsqrt_5c5e58e043224cccf51a06108010ae13_high_performance_210000000,AI_VECTOR_CORE,47,2382,1.160,1789112609275650.505	,1789112609275651.665	
2,Mul_ee98c6628030785f610b924ab1557b31_high_performance_212000002,AI_VECTOR_CORE,47,2383,8.700,1789112609275651.705	,1789112609275660.405	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,47,2384,7.220,1789112609275660.425	,1789112609275667.645	
2,Mul_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_221000002,AI_VECTOR_CORE,47,2385,6.960,1789112609275667.665	,1789112609275674.625	
2,MatMulV2_ND_ND_FP16_FP16_false_true_all_98883,AI_CORE,47,2386,16.540,1789112609275674.645	,1789112609275691.185	
2,MatMulV2_ND_ND_FP16_FP16_false_true_all_99025,AI_CORE,47,2387,13.420,1789112609275691.205	,1789112609275704.626	
2,MatMulV2_ND_ND_FP16_FP16_false_true_all_99025,AI_CORE,47,2388,11.300,1789112609275704.646	,1789112609275715.946	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,47,2389,4.920,1789112609275715.966	,1789112609275720.886	
2,Pows_87754663653454355677y73521552341_high_performance_301,AI_VECTOR_CORE,47,2390,9.280,1789112609275725.506	,1789112609275734.786	
2,ReduceMean_483c206567cda955ff1cdfd62744bc74_high_precision_50000400,MIX_AIV,47,2391,9.160,1789112609275753.627	,1789112609275762.787	
2,Add_ee98c6628030785f610b924ab1557b31_high_performance_223000000,AI_VECTOR_CORE,47,2392,1.420,1789112609275796.847	,1789112609275798.267	
2,Rsqrt_5c5e58e043224cccf51a06108010ae13_high_performance_210000000,AI_VECTOR_CORE,47,2393,1.300,1789112609275839.528	,1789112609275840.828	
2,Mul_ee98c6628030785f610b924ab1557b31_high_performance_212000001,AI_VECTOR_CORE,47,2394,12.020,1789112609275885.809	,1789112609275897.829	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,47,2395,2.660,1789112609275948.250	,1789112609275950.911	
2,Mul_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_621010001,AI_VECTOR_CORE,47,2396,7.060,1789112609275988.051	,1789112609275995.111	
2,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,AI_VECTOR_CORE,47,2397,1.200,1789112609276074.093	,1789112609276075.293	
2,Pows_87754663653454355677y73521552341_high_performance_301,AI_VECTOR_CORE,47,2398,7.920,1789112609276138.334	,1789112609276146.254	
2,ReduceMean_483c206567cda955ff1cdfd62744bc74_high_precision_50000400,MIX_AIV,47,2399,7.700,1789112609276173.415	,1789112609276181.115	
2,Add_ee98c6628030785f610b924ab1557b31_high_performance_223000000,AI_VECTOR_CORE,47,2400,1.260,1789112609276203.316	,1789112609276204.576	
2,Rsqrt_5c5e58e043224cccf51a06108010ae13_high_performance_210000000,AI_VECTOR_CORE,47,2401,1.120,1789112609276230.016	,1789112609276231.136	
2,Mul_ee98c6628030785f610b924ab1557b31_high_performance_212000002,AI_VECTOR_CORE,47,2402,7.520,1789112609276286.597	,1789112609276294.117	
2,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,47,2403,1.520,1789112609276335.138	,1789112609276336.658	
2,Mul_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_221000002,AI_VECTOR_CORE,47,2404,5.460,1789112609276370.919	,1789112609276376.379	
2,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_5,AI_VECTOR_CORE,47,2405,19.220,1789112609276497.841	,1789112609276517.062	
2,Mul_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_212100003,AI_VECTOR_CORE,47,2406,7.060,1789112609276517.082	,1789112609276524.142	
2,AsStrided_18d3ce49cd18b896ecbd4791ac24cb7a_high_performance__kernel0,AI_VECTOR_CORE,47,2407,5.820,1789112609276664.425	,1789112609276670.245	
2,Neg_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,47,2408,4.480,1789112609276670.265	,1789112609276674.745	
2,AsStrided_18d3ce49cd18b896ecbd4791ac24cb7a_high_performance__kernel0,AI_VECTOR_CORE,47,2409,4.380,1789112609276689.525	,1789112609276693.905	
2,ConcatD_ac0081dab05f1e5cef852acb8d7e866f_high_performance_0,AI_VECTOR_CORE,47,2410,4.820,1789112609276693.925	,1789112609276698.745	
2,Mul_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_212100003,AI_VECTOR_CORE,47,2411,3.480,1789112609276714.366	,1789112609276717.846	
2,Add_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210000000,AI_VECTOR_CORE,47,2412,6.420,1789112609276779.567	,1789112609276785.987	
2,Mul_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210020000,AI_VECTOR_CORE,47,2413,2.100,1789112609276792.107	,1789112609276794.207	
2,Slice_ee29dafe4fe21e12bb8d56ae91626cba_high_performance_524000000,AI_VECTOR_CORE,47,2414,3.280,1789112609276906.110	,1789112609276909.390	
2,Neg_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,47,2415,1.200,1789112609276909.430	,1789112609276910.630	
2,Slice_ee29dafe4fe21e12bb8d56ae91626cba_high_performance_524000000,AI_VECTOR_CORE,47,2416,2.740,1789112609276939.850	,1789112609276942.590	
2,ConcatD_ac0081dab05f1e5cef852acb8d7e866f_high_performance_0,AI_VECTOR_CORE,47,2417,3.980,1789112609276942.610	,1789112609276946.590	
2,Mul_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210020000,AI_VECTOR_CORE,47,2418,1.780,1789112609276973.091	,1789112609276974.871	
2,Add_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210000000,AI_VECTOR_CORE,47,2419,1.420,1789112609277005.692	,1789112609277007.112	
2,MemSet_1a6864193b99ef93ef38616f04a712ab_high_performance__kernel0,AI_VECTOR_CORE,47,2420,22.840,1789112609277274.457	,1789112609277297.297	
2,NonZero_0f226316a8de6a9a570f713de54c7b01_high_performance__kernel0,MIX_AIV,47,2421,8.060,1789112609277307.238	,1789112609277315.298	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2422,7.380,1789112609277518.982	,1789112609277526.362	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2423,5.920,1789112609277526.402	,1789112609277532.322	
2,IndexCheck_int64_high_performance_0,AI_VECTOR_CORE,47,2424,7.380,1789112609277535.182	,1789112609277542.562	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2425,5.820,1789112609277542.582	,1789112609277548.402	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2426,5.260,1789112609277548.422	,1789112609277553.683	
2,Index_f38a709e89de1f31f5d13ad291c093e5_high_performance__kernel0,AI_VECTOR_CORE,47,2427,8.600,1789112609277566.843	,1789112609277575.443	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2428,5.280,1789112609277575.483	,1789112609277580.763	
2,IndexCheck_int64_high_performance_0,AI_VECTOR_CORE,47,2429,6.740,1789112609277598.503	,1789112609277605.244	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2430,5.840,1789112609277605.264	,1789112609277611.104	
2,Index_790e15c983edeb9bbb712783ad7b1d7e_high_performance__kernel0,AI_VECTOR_CORE,47,2431,9.440,1789112609277611.144	,1789112609277620.584	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2432,5.380,1789112609277864.949	,1789112609277870.329	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2433,5.400,1789112609277870.349	,1789112609277875.749	
2,IndexCheck_int64_high_performance_0,AI_VECTOR_CORE,47,2434,6.940,1789112609277886.049	,1789112609277892.989	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2435,5.280,1789112609277914.570	,1789112609277919.850	
2,Slice_a32d70ed63082227463347a44bd5a08e_high_performance_522000000,AI_VECTOR_CORE,47,2436,5.400,1789112609277919.870	,1789112609277925.270	
2,Index,AI_CPU,47,2437,432.188,1789112609277949.130	,1789112609278381.319	
2,IndexCheck_int64_high_performance_0,AI_VECTOR_CORE,47,2438,7.140,1789112609278381.359	,1789112609278388.499	
2,IndexPut,AI_CPU,47,2439,228.344,1789112609278388.519	,1789112609278616.864	
