Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::full,";
;
;
;
;
",,33.88,134.8,0,2.16025,0,0
empty_tensor,,,21.15,21.15,0,0,0,0
aten::fill_,"4,8;
",,64.09,79.77,0,2.16025,0,0
aclnnInplaceFillScalar,,,15.68,15.68,2.16025,2.16025,0,0
aten::zeros_like,"4,8;
;
;
;
;
",,13.32,59.64,0,1.7,0,0
aten::empty_like,"4,8;
;
;
;
;
",,10.42,24.38,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,9.76,13.96,0,0,0,0
empty_tensor,,,4.2,4.2,0,0,0,0
aten::zero_,"4,8",,17.55,21.94,0,1.7,0,0
aclnnInplaceZero,,,4.39,4.39,1.7,1.7,0,0
aten::empty,";
;
;
;
;
",,13.58,13.58,0,0,0,0
aten::to,"6;
;
;
;
;
",,7.32,200.15,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,20.66,192.83,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,7.27,9.97,0,0,0,0
empty_tensor,,,2.7,2.7,0,0,0,0
aten::copy_,"6;
6;
",,162.2,162.2,0,0,0,0
aten::lift_fresh,6,,29.77,29.77,0,0,0,0
aten::detach_,6,,1.95,1.95,0,0,0,0
aten::select,"4,8;
;
",,21.35,93.89,0,0,0,0
aten::as_strided,"4,8;
;
;
",,72.54,72.54,0,0,0,0
aten::slice,"8;
;
;
;
",,7.31,10.11,0,0,0,0
aten::as_strided,"8;
;
;
",,2.8,2.8,0,0,0,0
aten::copy_,"6;
6;
",,134.55,147.0,0,0.9,0,0
aclnnInplaceCopy,,,12.45,12.45,0.9,0.9,0,0
aten::scalar_tensor,";
;
;
;
",,12.89,69.3,0,1.34,0,0
aten::empty,";
;
;
;
;
",,6.84,26.75,0,0,0,0
empty_tensor,,,19.91,19.91,0,0,0,0
aten::fill_,";
",,23.06,29.66,0,1.34,0,0
aclnnInplaceFillScalar,,,6.6,6.6,1.34,1.34,0,0
aten::select,"4,8;
;
",,4.16,7.73,0,0,0,0
aten::as_strided,"4,8;
;
;
",,3.57,3.57,0,0,0,0
aten::slice,"8;
;
;
;
",,3.97,5.57,0,0,0,0
aten::as_strided,"8;
;
;
",,1.6,1.6,0,0,0,0
aten::view,";
",,4.66,4.66,0,0,0,0
aten::expand,";
;
",,5.0,8.08,0,0,0,0
aten::as_strided,";
;
;
",,3.08,3.08,0,0,0,0
aten::copy_,"6;
6;
",,17.79,21.76,0,4.2802500000000006,0,0
aclnnInplaceCopy,,,3.97,3.97,4.2802500000000006,4.2802500000000006,0,0
aten::empty,";
;
;
;
;
",,9.2,9.2,0,0,0,0
aten::to,"8;
;
;
;
;
",,5.1,82.74,0,0,0,0
aten::_to_copy,"8;
;
;
;
;
;
",,11.73,77.64,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,10.67,13.48,0,0,0,0
empty_tensor,,,2.81,2.81,0,0,0,0
aten::copy_,"8;
8;
",,52.43,52.43,0,0,0,0
aten::lift_fresh,8,,2.64,2.64,0,0,0,0
aten::detach_,8,,0.6,0.6,0,0,0,0
aten::select,"4,8;
;
",,5.55,8.64,0,0,0,0
aten::as_strided,"4,8;
;
;
",,3.09,3.09,0,0,0,0
aten::copy_,"8;
8;
",,39.26,44.7,0,0.64,0,0
aclnnInplaceCopy,,,5.44,5.44,0.64,0.64,0,0
aten::scalar_tensor,";
;
;
;
",,4.71,27.47,0,1.34,0,0
aten::empty,";
;
;
;
;
",,2.36,7.67,0,0,0,0
empty_tensor,,,5.31,5.31,0,0,0,0
aten::fill_,";
",,10.36,15.09,0,1.34,0,0
aclnnInplaceFillScalar,,,4.73,4.73,1.34,1.34,0,0
aten::select,"4,8;
;
",,3.25,5.82,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.57,2.57,0,0,0,0
aten::view,";
",,2.2,2.2,0,0,0,0
aten::expand,";
;
",,3.09,5.74,0,0,0,0
aten::as_strided,";
;
;
",,2.65,2.65,0,0,0,0
aten::copy_,"8;
8;
",,13.04,16.97,0,4.02,0,0
aclnnInplaceCopy,,,3.93,3.93,4.02,4.02,0,0
aten::empty,";
;
;
;
;
",,5.76,5.76,0,0,0,0
aten::to,"6;
;
;
;
;
",,2.07,53.82,0,0,0,0
aten::_to_copy,"6;
;
;
;
;
;
",,5.06,51.75,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.49,7.38,0,0,0,0
empty_tensor,,,1.89,1.89,0,0,0,0
aten::copy_,"6;
6;
",,39.31,39.31,0,0,0,0
aten::lift_fresh,6,,1.67,1.67,0,0,0,0
aten::detach_,6,,0.51,0.51,0,0,0,0
aten::select,"4,8;
;
",,2.94,6.33,0,0,0,0
aten::as_strided,"4,8;
;
;
",,3.39,3.39,0,0,0,0
aten::slice,"8;
;
;
;
",,2.91,4.48,0,0,0,0
aten::as_strided,"8;
;
;
",,1.57,1.57,0,0,0,0
aten::copy_,"6;
6;
",,29.61,34.82,0,0.8,0,0
aclnnInplaceCopy,,,5.21,5.21,0.8,0.8,0,0
aten::scalar_tensor,";
;
;
;
",,3.09,24.55,0,1.34,0,0
aten::empty,";
;
;
;
;
",,2.03,6.14,0,0,0,0
empty_tensor,,,4.11,4.11,0,0,0,0
aten::fill_,";
",,9.73,15.32,0,1.34,0,0
aclnnInplaceFillScalar,,,5.59,5.59,1.34,1.34,0,0
aten::select,"4,8;
;
",,2.89,5.36,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.47,2.47,0,0,0,0
aten::slice,"8;
;
;
;
",,2.47,4.02,0,0,0,0
aten::as_strided,"8;
;
;
",,1.55,1.55,0,0,0,0
aten::view,";
",,1.85,1.85,0,0,0,0
aten::expand,";
;
",,2.5,4.48,0,0,0,0
aten::as_strided,";
;
;
",,1.98,1.98,0,0,0,0
aten::copy_,"6;
6;
",,14.1,18.78,0,3.92025,0,0
aclnnInplaceCopy,,,4.68,4.68,3.92025,3.92025,0,0
aten::empty,";
;
;
;
;
",,4.23,4.23,0,0,0,0
aten::to,"8;
;
;
;
;
",,2.63,51.44,0,0,0,0
aten::_to_copy,"8;
;
;
;
;
;
",,4.06,48.81,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,5.18,7.2,0,0,0,0
empty_tensor,,,2.02,2.02,0,0,0,0
aten::copy_,"8;
8;
",,37.55,37.55,0,0,0,0
aten::lift_fresh,8,,1.48,1.48,0,0,0,0
aten::detach_,8,,0.78,0.78,0,0,0,0
aten::select,"4,8;
;
",,3.42,6.14,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.72,2.72,0,0,0,0
aten::copy_,"8;
8;
",,28.38,34.76,0,0.74,0,0
aclnnInplaceCopy,,,6.38,6.38,0.74,0.74,0,0
aten::scalar_tensor,";
;
;
;
",,3.68,22.71,0,1.24,0,0
aten::empty,";
;
;
;
;
",,2.47,6.61,0,0,0,0
empty_tensor,,,4.14,4.14,0,0,0,0
aten::fill_,";
",,9.16,12.42,0,1.24,0,0
aclnnInplaceFillScalar,,,3.26,3.26,1.24,1.24,0,0
aten::select,"4,8;
;
",,3.23,5.72,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.49,2.49,0,0,0,0
aten::view,";
",,2.13,2.13,0,0,0,0
aten::expand,";
;
",,2.9,5.14,0,0,0,0
aten::as_strided,";
;
;
",,2.24,2.24,0,0,0,0
aten::copy_,"8;
8;
",,12.66,16.12,0,3.84,0,0
aclnnInplaceCopy,,,3.46,3.46,3.84,3.84,0,0
minigpt::prefill_phase,,,232.12,264154.29,0,407611.4105,0,10264.2075
minigpt::prefill_model,,,43684.55,262013.15,0,405245.92275,0,10264.2075
aten::to,"4,8;
;
;
;
",,4.01,49.21,0,1.48,0,0
aten::_to_copy,"4,8;
;
;
;
;
;
",,10.27,45.2,0,1.48,0,0
aten::empty_strided,";
;
;
;
;
",,7.68,11.62,0,0,0,0
empty_tensor,,,3.94,3.94,0,0,0,0
aten::copy_,"4,8;
4,8;
",,18.39,23.31,0,1.48,0,0
aclnnInplaceCopy,,,4.92,4.92,1.48,1.48,0,0
aten::sum,"4,8;
;
;
",,21.47,29.19,0,3.16025,0,0
empty_tensor,,,3.92,3.92,0,0,0,0
aclnnReduceSum,,,3.8,3.8,3.16025,3.16025,0,0
aten::le,"4;
",,16.49,21.28,0,2.86,0,0
empty_tensor,,,3.14,3.14,0,0,0,0
aclnnLeScalar,,,1.65,1.65,2.86,2.86,0,0
aten::any,4,,16.38,23.25,0,3.08,0,0
empty_tensor,,,3.1,3.1,0,0,0,0
aclnnAny,,,3.77,3.77,3.08,3.08,0,0
aten::is_nonzero,,,20.24,91.42,0,0,0,0
aten::item,,,5.86,71.18,0,0,0,0
aten::_local_scalar_dense,,,65.32,65.32,0,0,0,0
aten::arange,";
;
;
;
",,20.38,29.99,0,9.22025,0,0
empty_tensor,,,4.51,4.51,0,0,0,0
aclnnArange,,,5.1,5.1,9.22025,9.22025,0,0
