Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,IndexCheck_Tiling,4366.68,1288,3.39,0.16,27.02,12.692
host,acl,IndexPutV2_Tiling,70.75,4,17.688,12.63,22.14,15.458
host,acl,NonZero_Tiling,3581.03,1664,2.152,0.23,71.31,6.922
host,communication,Notify_Record,13791.01,557,24.759,17.29,74.56,22.193
host,communication,Notify_Wait,8043.54,557,14.441,11.99,44.11,3.905
host,acl,Slice_Tiling,2579.25,512,5.038,2.1,92.36,60.216
host,acl,aclmdlRICaptureGetInfo,1638.15,5850,0.28,0.12,1.84,0.047
host,acl,aclnnAdd,9192.42,1027,8.951,5.93,53.67,7.089
host,acl,aclnnAdds,8966.17,1028,8.722,5.34,933.59,835.114
host,acl,aclnnAny,212.98,19,11.209,8.14,18.41,6.76
host,acl,aclnnArange,3551.88,386,9.202,6.88,54.95,6.342
host,acl,aclnnBitwiseAndTensor,1451.58,68,21.347,10.08,35.32,12.589
host,acl,aclnnBitwiseNot,87.1,9,9.678,6.72,13.12,3.525
host,acl,aclnnCat,9177.89,520,17.65,8.72,1978.43,7416.507
host,acl,aclnnClampMin,10.58,1,10.58,10.58,10.58,0
host,acl,aclnnConstantPadNd,533.45,36,14.818,10.23,51.03,43.548
host,acl,aclnnCos,61.72,4,15.43,6.97,37.3,159.961
host,acl,aclnnCumsum,28.32,1,28.32,28.32,28.32,0
host,acl,aclnnCumsumGetWorkspaceSize,26.77,1,26.77,26.77,26.77,0
host,acl,aclnnEmbedding,53.59,4,13.398,11.32,15.78,3.098
host,acl,aclnnFlashAttentionScore,4213.07,256,16.457,12.71,38.8,5.74
host,acl,aclnnGeScalar,135.95,12,11.329,9.5,16.28,4.399
host,acl,aclnnIndex,38216.25,1609,23.752,9.11,207.75,634.737
host,acl,aclnnIndexGetWorkspaceSize,7500.07,128,58.594,44.18,144.54,147.78
host,acl,aclnnIndexPutImpl,16248.29,516,31.489,24.66,75.68,23.886
host,acl,aclnnIndexPutImplGetWorkspaceSize,17317.37,516,33.561,24.81,87.71,25.521
host,acl,aclnnInplaceCopy,17052.74,2190,7.787,4.5,54.62,7.47
host,acl,aclnnInplaceCopyGetWorkspaceSize,429.53,47,9.139,4.7,42.58,42.41
host,acl,aclnnInplaceFillScalar,60.54,5,12.108,7.74,19.94,21.339
host,acl,aclnnInplaceMaskedFillScalar,155.8,9,17.311,8.92,33.26,44.951
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,98.56,5,19.712,12.61,38.21,87.422
host,acl,aclnnInplaceOne,670.4,68,9.859,6.51,68.73,56.715
host,acl,aclnnInplaceZero,310.76,25,12.43,2.08,49.8,81.601
host,acl,aclnnLeScalar,20.13,2,10.065,8.06,12.07,4.02
host,acl,aclnnLogicalNot,2024.18,256,7.907,5.97,30.35,2.389
host,acl,aclnnLtScalar,194.1,13,14.931,8.08,59.71,173.431
host,acl,aclnnLtTensor,1780.28,192,9.272,7.17,13.41,0.573
host,acl,aclnnMatmul,15625.76,1796,8.7,5.53,42.77,4.503
host,acl,aclnnMax,148.7,9,16.522,10.76,45.68,108.747
host,acl,aclnnMaxDim,18.91,1,18.91,18.91,18.91,0
host,acl,aclnnMean,11148.63,1028,10.845,8.07,56.28,4.591
host,acl,aclnnMul,26121.21,3340,7.821,5.05,55.83,5.532
host,acl,aclnnNeg,7010.41,512,13.692,11.69,63.74,15.119
host,acl,aclnnNonzero,97707.66,64,1526.682,96.95,7507.99,1390487.632
host,acl,aclnnNonzeroGetWorkspaceSize,2099.88,64,32.811,25.67,100.64,101.61
host,acl,aclnnNonzeroV2,338071.2,768,440.197,62.21,8167.18,470054.41
host,acl,aclnnNonzeroV2GetWorkspaceSize,15393.58,768,20.044,13.17,58.64,34.118
host,acl,aclnnPowTensorScalar,8636.48,1028,8.401,4.91,54.25,5.875
host,acl,aclnnReduceSum,59.95,2,29.975,10.88,49.07,364.619
host,acl,aclnnRsqrt,6854.22,1028,6.668,4.57,51.74,5.342
host,acl,aclnnSWhere,45.88,3,15.293,10.47,22.08,24.393
host,acl,aclnnSilu,1917.85,256,7.492,5.67,14.62,1.143
host,acl,aclnnSin,40.63,4,10.157,7.55,12.52,4.111
host,acl,aclnnSubs,106.39,5,21.278,8.9,64.29,463.856
host,acl,aclnnTril,502.81,64,7.856,5.53,14.1,1.242
host,acl,aclnnUnique2,1009.51,4,252.378,242.29,259.44,51.553
host,acl,aclnnUnique2GetWorkspaceSize,98.89,4,24.722,18.1,30.22,24.374
host,acl,aclrtCreateEventExWithFlag,2406.88,1370,1.757,0.57,24.17,1.966
host,acl,aclrtCtxSetSysParamOpt,17204.82,36336,0.473,0.17,33.29,0.169
host,acl,aclrtDestroyEvent,1484.01,1428,1.039,0.5,14.59,0.979
host,acl,aclrtFree,105.03,20,5.252,3.14,11.17,5.388
host,acl,aclrtGetCurrentContext,293.26,557,0.526,0.25,0.96,0.008
host,acl,aclrtGetDeviceCount,2.57,2,1.285,1.12,1.45,0.027
host,acl,aclrtGetHardwareSyncAddr,1028.66,2182,0.471,0.25,13.32,0.104
host,acl,aclrtGetResInCurrentThread,1132.16,3066,0.369,0.1,1.48,0.083
host,acl,aclrtGetStreamAttribute,4743.73,19282,0.246,0.17,3.92,0.003
host,acl,aclrtLaunchKernelWithHostArgs,120546.21,24236,4.974,1.97,1964.77,162.121
host,acl,aclrtMallocWithCfg,224.55,20,11.228,5.58,27.14,55.126
host,acl,aclrtMemcpy,19367.73,951,20.366,13.3,263.94,115.271
host,acl,aclrtMemcpyAsync,396.77,51,7.78,2.55,31.11,40.32
host,acl,aclrtQueryEventStatus,279.66,616,0.454,0.25,3.89,0.05
host,acl,aclrtRecordEvent,11648.71,1927,6.045,2.95,40.3,5.341
host,acl,aclrtRecordNotify,5419.37,1114,4.865,3.5,42.09,2.171
host,acl,aclrtStreamGetId,381,1114,0.342,0.18,0.86,0.012
host,acl,aclrtStreamWaitEvent,7044.91,1370,5.142,3.87,41.17,2.012
host,acl,aclrtSynchronizeDeviceWithTimeout,13839.74,6,2306.623,20.48,8678.09,8684071.108
host,acl,aclrtSynchronizeStream,391382.01,891,439.262,1.48,8090.33,580423.269
host,acl,aclrtSynchronizeStreamWithTimeout,16181.69,896,18.06,1,2386.7,24017.379
host,acl,aclrtWaitAndResetNotify,5648.95,1671,3.381,1.1,32.89,2.957
host,acl,hcom_allGather_,568.22,4,142.055,136.62,146.67,19.291
host,acl,hcom_allReduce_,74823.56,533,140.382,96.55,314.03,489.641
host,acl,hcom_broadcast_,3077.05,20,153.852,111.49,420.68,4381.145
host,node,launch,637440.85,24793,25.711,2.39,8126.67,28832.271
