Device_id,Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
7,0,95531.81799999984,132884.61100000003,0.0,132884.61100000003,34925.95200000232,263342.5,0,132884.61100000003,1237.5
7,1,54377.19799999985,187091.64299999987,0.0,187091.64299999987,82785.5379999977,324254.25,0,187091.64299999987,368.0
7,2,54039.01099999966,158543.84399999998,0.0,158543.84399999998,80224.99499999768,292807.75,0,158543.84399999998,441.5
7,3,54034.76299999995,178332.94999999995,0.0,178332.94999999995,82182.71199999814,314550.25,0,178332.94999999995,332.75
