Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,NonZero_Tiling,22.28,2,11.14,4.25,18.03,47.472
host,communication,Notify_Record,12890.28,524,24.6,20.83,76.31,12.619
host,communication,Notify_Wait,8289.99,524,15.821,12.76,38.09,5.558
host,acl,aclmdlRICaptureGetInfo,1553.84,5504,0.282,0.13,26.81,0.21
host,acl,aclnnAdd,9547.38,1024,9.324,5.91,19.86,1.825
host,acl,aclnnAdds,8456.95,1028,8.227,5.33,33.36,3.096
host,acl,aclnnAny,159.4,13,12.262,8.39,18.76,7.886
host,acl,aclnnArange,78.25,8,9.781,7.81,12.53,2.052
host,acl,aclnnBitwiseAndTensor,2211.74,260,8.507,7.44,14.98,0.63
host,acl,aclnnBitwiseNot,106.77,12,8.898,6.8,13.61,3.172
host,acl,aclnnCat,7495.6,523,14.332,9.66,37.2,2.678
host,acl,aclnnClampMin,42.37,4,10.593,9.54,12.61,1.411
host,acl,aclnnConstantPadNd,194.15,12,16.179,13.06,21.47,6.553
host,acl,aclnnCos,36.86,4,9.215,8.19,10.48,0.689
host,acl,aclnnCumsum,73.93,4,18.482,15.66,21.31,4.142
host,acl,aclnnCumsumGetWorkspaceSize,97.68,4,24.42,22.21,26.36,3.591
host,acl,aclnnEmbedding,40.83,4,10.208,8.77,12.1,1.782
host,acl,aclnnFlashAttentionScore,5475.87,256,21.39,17.95,36.24,4.157
host,acl,aclnnGeScalar,79.62,8,9.953,8.7,11.88,1.143
host,acl,aclnnIndex,115.44,5,23.088,17.46,29.7,24.778
host,acl,aclnnInplaceCopy,19224.68,2360,8.146,4.84,38.28,4.186
host,acl,aclnnInplaceCopyGetWorkspaceSize,373.58,22,16.981,6.29,50.46,118.545
host,acl,aclnnInplaceFillScalar,117.5,6,19.583,9.92,55.52,267.288
host,acl,aclnnInplaceMaskedFillScalar,201.5,12,16.792,8.35,31.66,53.575
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,128.4,8,16.05,11.58,21.51,16.784
host,acl,aclnnInplaceOne,2021.04,259,7.803,6.63,22.63,1.514
host,acl,aclnnInplaceZero,140.55,13,10.812,8.34,21.26,10.739
host,acl,aclnnLeScalar,16.66,1,16.66,16.66,16.66,0
host,acl,aclnnLogicalNot,2052.32,256,8.017,6.72,33.41,3.055
host,acl,aclnnLtScalar,112.34,12,9.362,8.62,11.24,0.72
host,acl,aclnnMatmul,16286.02,1796,9.068,6.69,27.77,1.261
