Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::_local_scalar_dense,,,62.55,62.55,0,0,0,0
aten::to,"1,6;
;
;
;
",,5.94,54.05,0,1.22,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,6.6,48.11,0,1.22,0,0
aten::empty_strided,";
;
;
;
;
",,9.13,13.16,0,0,0,0
empty_tensor,,,4.03,4.03,0,0,0,0
aten::copy_,"1,6;
1,6;
",,21.31,28.35,0,1.22,0,0
aclnnInplaceCopy,,,7.04,7.04,1.22,1.22,0,0
aten::sum,"1,6;
;
;
",,4.96,27.86,0,2.12,0,0
aten::sum,"1,6;
;
;
",,13.84,22.9,0,2.12,0,0
empty_tensor,,,4.67,4.67,0,0,0,0
aclnnReduceSum,,,4.39,4.39,2.12,2.12,0,0
aten::le,"1;
",,12.15,20.14,0,2.34,0,0
empty_tensor,,,2.8,2.8,0,0,0,0
aclnnLeScalar,,,5.19,5.19,2.34,2.34,0,0
aten::any,1,,14.07,21.38,0,1.32,0,0
empty_tensor,,,2.75,2.75,0,0,0,0
aclnnAny,,,4.56,4.56,1.32,1.32,0,0
aten::is_nonzero,,,3.2,65.22,0,0,0,0
aten::item,,,3.77,62.02,0,0,0,0
aten::_local_scalar_dense,,,58.25,58.25,0,0,0,0
aten::max,1,,13.64,23.36,0,1.44,0,0
empty_tensor,,,3.78,3.78,0,0,0,0
aclnnMax,,,5.94,5.94,1.44,1.44,0,0
aten::item,,,1.65,48.87,0,0,0,0
aten::_local_scalar_dense,,,47.22,47.22,0,0,0,0
aten::arange,";
;
;
;
",,16.18,26.17,0,4.14,0,0
empty_tensor,,,4.14,4.14,0,0,0,0
aclnnArange,,,5.85,5.85,4.14,4.14,0,0
aten::slice,"1;
;
;
;
",,7.98,13.28,0,0,0,0
aten::as_strided,"1;
;
;
",,5.3,5.3,0,0,0,0
aten::zero_,1,,12.39,17.47,0,1.38,0,0
aclnnInplaceZero,,,5.08,5.08,1.38,1.38,0,0
aten::to,"1,6;
;
;
;
",,2.8,33.72,0,1.2,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,5.63,30.92,0,1.2,0,0
aten::empty_strided,";
;
;
;
;
",,5.99,8.03,0,0,0,0
empty_tensor,,,2.04,2.04,0,0,0,0
aten::copy_,"1,6;
1,6;
",,12.42,17.26,0,1.2,0,0
aclnnInplaceCopy,,,4.84,4.84,1.2,1.2,0,0
aten::cumsum,"1,6;
;
",,3.99,81.93,0,61.74125,0,0
aten::cumsum,"1,6;
;
",,69.0,77.94,0,61.74125,0,0
empty_tensor,,,3.83,3.83,0,0,0,0
aclnnCumsum,,,5.11,5.11,61.74125,61.74125,0,0
aten::sub,"1,6;
;
",,17.64,31.28,0,2.94,0,0
empty_tensor,,,4.16,4.16,0,0,0,0
aten::item,,,2.41,4.76,0,0,0,0
aten::_local_scalar_dense,,,2.35,2.35,0,0,0,0
aclnnSubs,,,4.72,4.72,2.94,2.94,0,0
aten::clamp_min,"1,6;
",,16.51,25.19,0,5.0,0,0
empty_tensor,,,3.17,3.17,0,0,0,0
aclnnClampMin,,,5.51,5.51,5.0,5.0,0,0
aten::lt,"1,6;
",,13.54,22.07,0,2.78,0,0
empty_tensor,,,3.3,3.3,0,0,0,0
aclnnLtScalar,,,5.23,5.23,2.78,2.78,0,0
aten::any,"1,6",,14.77,21.12,0,3.14,0,0
empty_tensor,,,3.84,3.84,0,0,0,0
aclnnAny,,,2.51,2.51,3.14,3.14,0,0
aten::is_nonzero,,,1.8,60.36,0,0,0,0
aten::item,,,2.11,58.56,0,0,0,0
aten::_local_scalar_dense,,,56.45,56.45,0,0,0,0
aten::ge,"1,6;
",,13.76,22.92,0,2.9,0,0
empty_tensor,,,3.82,3.82,0,0,0,0
aclnnGeScalar,,,5.34,5.34,2.9,2.9,0,0
aten::any,"1,6",,11.21,16.68,0,2.58025,0,0
empty_tensor,,,3.32,3.32,0,0,0,0
aclnnAny,,,2.15,2.15,2.58025,2.58025,0,0
aten::is_nonzero,,,1.55,44.29,0,0,0,0
aten::item,,,1.54,42.74,0,0,0,0
aten::_local_scalar_dense,,,41.2,41.2,0,0,0,0
aten::ge,"1,6;
",,12.01,20.27,0,2.48025,0,0
empty_tensor,,,3.35,3.35,0,0,0,0
aclnnGeScalar,,,4.91,4.91,2.48025,2.48025,0,0
aten::lt,"1,6;
",,11.59,19.57,0,2.34025,0,0
empty_tensor,,,3.39,3.39,0,0,0,0
aclnnLtScalar,,,4.59,4.59,2.34025,2.34025,0,0
aten::__and__,"1,6;
1,6",,5.23,50.35,0,1.5,0,0
aten::bitwise_and,"1,6;
1,6",,35.56,45.12,0,1.5,0,0
empty_tensor,,,4.66,4.66,0,0,0,0
aclnnBitwiseAndTensor,,,4.9,4.9,1.5,1.5,0,0
aten::sub,"1,6;
;
",,14.07,21.84,0,2.44,0,0
empty_tensor,,,2.74,2.74,0,0,0,0
aten::item,,,1.66,2.92,0,0,0,0
aten::_local_scalar_dense,,,1.26,1.26,0,0,0,0
aclnnSubs,,,2.11,2.11,2.44,2.44,0,0
aten::bitwise_not,"1,6",,11.51,19.68,0,1.36,0,0
empty_tensor,,,3.09,3.09,0,0,0,0
aclnnBitwiseNot,,,5.08,5.08,1.36,1.36,0,0
aten::masked_fill,"1,6;
1,6;
",,7.6,94.44,0,77.38199999999999,0,0
aten::clone,"1,6;
",,4.0,49.38,0,0.78025,0,0
empty_tensor,,,3.67,3.67,0,0,0,0
