Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,BroadcastTo_Tiling,93.12,4,23.28,19.26,29.07,13.187
host,acl,IndexCheck_Tiling,3944.14,1288,3.062,0.12,39.64,11.329
host,acl,IndexPutV2_Tiling,46.37,4,11.593,10.07,13.35,1.651
host,acl,NonZero_Tiling,3918.23,1664,2.355,0.19,26.75,6.662
host,communication,Notify_Record,13987.01,524,26.693,20.69,89.51,36.417
host,communication,Notify_Wait,7781.48,524,14.85,12.01,51.6,8.762
host,acl,Slice_Tiling,2472.69,512,4.829,1.86,50.72,53.361
host,acl,aclmdlRICaptureGetInfo,1613.97,5504,0.293,0.1,32.81,0.244
host,acl,aclnnAdd,9279.12,1027,9.035,5.64,60.39,7.802
host,acl,aclnnAdds,7567.51,1028,7.361,5.24,17.09,1.959
host,acl,aclnnAny,161.55,11,14.686,7.62,33.31,61.906
host,acl,aclnnArange,3696.25,390,9.478,6.85,42.57,6.645
host,acl,aclnnBitwiseAndTensor,565.94,68,8.323,6.66,18.73,2.797
host,acl,aclnnBitwiseNot,95.39,9,10.599,6.37,21.33,22.713
host,acl,aclnnCat,6065.58,520,11.665,5.92,49.87,14.341
host,acl,aclnnClampMin,22.53,1,22.53,22.53,22.53,0
host,acl,aclnnConstantPadNd,598.88,36,16.636,11.52,64.06,86.784
host,acl,aclnnCos,37.53,4,9.383,6.44,13.65,8.557
host,acl,aclnnCumsum,37.48,1,37.48,37.48,37.48,0
host,acl,aclnnCumsumGetWorkspaceSize,32.03,1,32.03,32.03,32.03,0
host,acl,aclnnEmbedding,50.77,4,12.692,10.03,18.46,11.511
host,acl,aclnnFlashAttentionScore,4182.89,256,16.339,12.09,105.26,46.028
host,acl,aclnnGeScalar,101.06,8,12.633,8.85,22.29,19.267
host,acl,aclnnIndex,37637.35,1604,23.465,9.68,1158.65,1381.402
host,acl,aclnnIndexGetWorkspaceSize,6500.26,128,50.783,40.47,122.16,107.628
host,acl,aclnnIndexPutImpl,17000.58,516,32.947,21.25,137.93,98.283
host,acl,aclnnIndexPutImplGetWorkspaceSize,16382.47,516,31.749,21.62,75.17,34.667
host,acl,aclnnInplaceCopy,15772.86,2185,7.219,4.46,59.21,6.576
host,acl,aclnnInplaceCopyGetWorkspaceSize,389.04,45,8.645,4.47,40.88,40.25
host,acl,aclnnInplaceFillScalar,141.41,2,70.705,61.62,79.79,82.537
